Issn,journal_name,Journal Title Normalized,URL
0952-3987,Educational Media International,educational media international,https://www.tandfonline.com/toc/remi20/current
1740-4622,Communication Teacher,communication teacher,https://www.tandfonline.com/toc/rcmt20/current
0094-0798,Oral History Review,oral history review,https://www.oralhistory.org/publications/oral-history-review/
1573-9538,Purinergic Signalling,purinergic signalling,https://www.springer.com/journal/11302
0144-932X,The Liverpool Law Review,the liverpool law review,https://www.springer.com/journal/10991
0022-0493,Journal of Economic Entomology,journal of economic entomology,https://academic.oup.com/jee
0098-1389,Social Work in Health Care,social work in health care,https://www.tandfonline.com/toc/wshc20/current
0267-5730,International Journal of Technology Management,international journal of technology management,https://www.inderscience.com/jhome.php?jcode=ijtm
1017-7825,Journal of Microbiology and Biotechnology,journal of microbiology and biotechnology,https://www.jmb.or.kr/
0044-2372,Zeitschrift für Betriebswirtschaft,zeitschrift für betriebswirtschaft,https://www.springer.com/series/11295
1615-7591,Bioprocess and Biosystems Engineering,bioprocess and biosystems engineering,https://www.springer.com/journal/449
1226-8496,THE JOURNAL OF THE KOREAN ACADEMY OF PEDTATRIC DENTISTRY,the journal of the korean academy of pedtatric dentistry,https://journal.kapd.org/
1383-5416,International Journal of Applied Electromagnetics and Mechanics,international journal of applied electromagnetics and mechanics,https://www.iospress.com/catalog/journals/international-journal-of-applied-electromagnetics-and-mechanics
1538-6473,"Criminology <html_ent glyph=""@amp;"" ascii=""&amp;""/> Public Policy","criminology <html_ent glyph=""@amp;"" ascii=""&amp;""/> public policy",https://glasgow.rl.talis.com/items/0445D9AA-D089-AE24-2F81-61E993FC8242.html
0912-3814,Ecological Research,ecological research,https://esj-journals.onlinelibrary.wiley.com/journal/14401703
0736-0266,Journal of Orthopaedic Research,journal of orthopaedic research,https://onlinelibrary.wiley.com/journal/1554527x
0022-3069,Journal of Neuropathology & Experimental Neurology,journal of neuropathology & experimental neurology,https://academic.oup.com/jnen
2001-3078,Journal of Extracellular Vesicles,journal of extracellular vesicles,https://onlinelibrary.wiley.com/journal/20013078
2075-051X,Sultan Qaboos University Medical Journal,sultan qaboos university medical journal,https://journals.squ.edu.om/index.php/squmj
1936-6442,Peer-to-Peer Networking and Applications,peer-to-peer networking and applications,https://www.springer.com/journal/12083
1996-4196,Chemistry & Chemical Technology,chemistry & chemical technology,https://www.britannica.com/science/chemistry
1089-7798,IEEE Communications Letters,ieee communications letters,https://www.comsoc.org/publications/journals/ieee-comml
0973-7030,Indian Journal of Human Development,indian journal of human development,https://journals.sagepub.com/home/jhd
1144-0546,New J. Chem.,new j. chem.,https://pubs.rsc.org/en/journals/journal/nj
0360-0025,Sex Roles,sex roles,https://www.springer.com/journal/11199
1834-7649,International Journal of Accounting & Information Management,international journal of accounting & information management,https://www.worldscientific.com/worldscinet/tija
0950-2386,Cultural Studies,cultural studies,https://www.britannica.com/topic/cultural-studies
0942-5616,Mathematical Logic Quarterly,mathematical logic quarterly,https://onlinelibrary.wiley.com/journal/15213870
0003-7982,arcadia - International Journal for Literary Studies,arcadia - international journal for literary studies,https://www.degruyter.com/arcadia
1743-5390,Nanotoxicology,nanotoxicology,https://www.tandfonline.com/toc/inan20/current
1569-1101,Gerontechnology,gerontechnology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7482590/
1939-1412,IEEE Transactions on Haptics,ieee transactions on haptics,http://www.ieee-ras.org/publications/toh
0835-1813,Research on Language and Social Interaction,research on language and social interaction,https://www.tandfonline.com/toc/hrls20/current
0039-7946,Syria,syria,/search?q=syria&num=6&hl=en&tbm=isch&source=iu&ictx=1&fir=BssCcKbLsOITkM%252Cijv9lkcbzMD9dM%252C%252Fm%252F06vbd&vet=1&usg=AI4_-kRRnXB685XiV6_wEzQUYetZqdnUEQ&sa=X&ved=2ahUKEwimtt6MtZb1AhVqTTABHS1YDNUQ_B16BAgyEAE#imgrc=BssCcKbLsOITkM
1475-1461,Socio-Economic Review,socio-economic review,https://academic.oup.com/ser
0387-1193,The Journal of the Japanese Society of Clinical Cytology,the journal of the japanese society of clinical cytology,https://www.jstage.jst.go.jp/browse/jjscc
1387-9316,Sign Language & Linguistics,sign language & linguistics,https://www.lifeprint.com/
2395-1435,Agricultural Research Journal,agricultural research journal,https://www.springer.com/journal/40003
1990-4789,Journal of Applied and Industrial Mathematics,journal of applied and industrial mathematics,https://www.springer.com/journal/11754
0302-9743,Medical Image Computing and Computer-Assisted Intervention – MICCAI 2011,medical image computing and computer-assisted intervention – miccai 2011,https://link.springer.com/book/10.1007/978-3-642-23626-6
1876-4533,Medicine Studies,medicine studies,https://clinicaltrials.gov/
0302-9743,Testing of Communicating Systems,testing of communicating systems,https://link.springer.com/book/10.1007/978-0-387-35516-0
2042-3489,New Journal of Botany,new journal of botany,https://www.tandfonline.com/loi/ynjb20
0975-0878,Insight on Africa,insight on africa,https://journals.sagepub.com/home/ioa
1320-0968,Australian Feminist Law Journal,australian feminist law journal,https://www.tandfonline.com/toc/rfem20/current
2041-1863,Bulletin for the Study of Religion,bulletin for the study of religion,https://journal.equinoxpub.com/BSOR
1567-715X,Kronoscope,kronoscope,https://brill.com/kron
0424-7760,Electronics & Communications in Japan,electronics & communications in japan,https://www.walmart.com/cp/electronics/3944
2161-2234,Thought: A Journal of Philosophy,thought: a journal of philosophy,https://onlinelibrary.wiley.com/journal/21612234
2304-3881,Hepatobiliary Surgery and Nutrition,hepatobiliary surgery and nutrition,https://hbsn.amegroups.com/
0302-9743,Advanced Analysis and Learning on Temporal Data,advanced analysis and learning on temporal data,https://link.springer.com/book/10.1007/978-3-030-65742-0
1865-0929,Theory and Practice of Digital Libraries - TPDL 2013 Selected Workshops,theory and practice of digital libraries - tpdl 2013 selected workshops,https://link.springer.com/book/10.1007/978-3-319-08425-1
0302-9743,Multilingual Information Access Evaluation I. Text Retrieval Experiments,multilingual information access evaluation i. text retrieval experiments,https://link.springer.com/book/10.1007/978-3-642-15754-7
0026-6493,Annals of the Missouri Botanical Garden,annals of the missouri botanical garden,https://annals.mobot.org/
1913-1925,Journal of Student Science and Technology,journal of student science and technology,https://journal.fsst.ca/
0075-8434,Processus Aléatoires à Deux Indices,processus aléatoires à deux indices,https://link.springer.com/book/10.1007/BFb0091089
0075-8434,Dynamical Systems—Warwick 1974,dynamical systems—warwick 1974,https://link.springer.com/book/10.1007/BFb0082572
1054-3414,Polymer Reaction Engineering,polymer reaction engineering,https://onlinelibrary.wiley.com/doi/book/10.1002/9780470692134
0075-8434,Probability and Information Theory,probability and information theory,http://egrcc.github.io/docs/dl/deeplearningbook-prob.pdf
1724-8035,Intelligenza Artificiale,intelligenza artificiale,https://www.iospress.com/catalog/journals/intelligenza-artificiale
1612-1783,Communication & Medicine,communication & medicine,https://www.skillsyouneed.com/ips/what-is-communication.html
0975-4253,Environment and Urbanization ASIA,environment and urbanization asia,https://journals.sagepub.com/home/eua
1687-6741,Research Letters in Communications,research letters in communications,http://journalseek.net/cgi-bin/journalseek/journalsearch.cgi?field=issn&query=1687-6741
0075-8434,Berkovich Spaces and Applications,berkovich spaces and applications,https://link.springer.com/book/10.1007/978-3-319-11029-5
1548-8969,Journal of Experimental Zoology Part A: Comparative Experimental Biology,journal of experimental zoology part a: comparative experimental biology,https://onlinelibrary.wiley.com/journal/24715646
0302-9743,Rules in Database Systems,rules in database systems,https://link.springer.com/book/10.1007/978-1-4471-3225-7
0097-6156,Solution Properties of Polysaccharides,solution properties of polysaccharides,https://www.intechopen.com/chapters/57644
0302-9743,"Verified Software: Theories, Tools, and Experiments","verified software: theories, tools, and experiments",https://link.springer.com/book/10.1007/978-3-030-03592-1
2079-052X,Emirates Journal of Food and Agriculture,emirates journal of food and agriculture,https://www.ejfa.me/
0302-9743,High Performance Computing for Computational Science -- VECPAR 2014,high performance computing for computational science -- vecpar 2014,https://link.springer.com/book/10.1007/978-3-319-17353-5
2051-8803,Journal of Professions and Organization,journal of professions and organization,https://academic.oup.com/jpo
0302-9743,Transactions on Rough Sets XVIII,transactions on rough sets xviii,https://link.springer.com/book/10.1007/978-3-662-44680-5
1860-949X,"Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing 2015","software engineering, artificial intelligence, networking and parallel/distributed computing 2015",https://link.springer.com/book/10.1007/978-3-319-23509-7
0075-8450,Jets from Stars and Galactic Nuclei,jets from stars and galactic nuclei,https://link.springer.com/book/10.1007/BFb0102591
0097-6156,Reactivity of Metal-Metal Bonds,reactivity of metal-metal bonds,https://pubs.acs.org/doi/10.1021/acs.inorgchem.7b01330
0075-8434,Extensions of Positive Definite Functions,extensions of positive definite functions,https://link.springer.com/book/10.1007/978-3-319-39780-1
0075-8434,Algebraic Cycles and Hodge Theory,algebraic cycles and hodge theory,https://link.springer.com/book/10.1007/b52495
0302-9743,The Beauty of Functional Code,the beauty of functional code,https://link.springer.com/book/10.1007/978-3-642-40355-2
0097-6156,Service Life Prediction,service life prediction,https://www.sciencedirect.com/topics/engineering/service-life-prediction
0975-3710,International Journal of Agriculture Sciences,international journal of agriculture sciences,https://www.iaras.org/iaras/journals/ijas
0097-6156,Chemistry’s Role in Food Production and Sustainability: Past and Present,chemistry’s role in food production and sustainability: past and present,https://global.oup.com/academic/product/chemistrys-role-in-food-production-and-sustainability-9780841234284
1139-1723,Pedagogia Social. Revista Interuniversitaria,pedagogia social. revista interuniversitaria,https://recyt.fecyt.es/index.php/PSRI
0937-7409,CHEMOECOLOGY,chemoecology,https://www.springer.com/journal/49
2150-1203,Mycology: An International Journal on Fungal Biology,mycology: an international journal on fungal biology,https://www.tandfonline.com/loi/tmyc20
1860-949X,"Cybercrime, Digital Forensics and Jurisdiction","cybercrime, digital forensics and jurisdiction",https://link.springer.com/book/10.1007/978-3-319-15150-2
0303-4240,"Reviews of Physiology, Biochemistry and Pharmacology, Volume 89","reviews of physiology, biochemistry and pharmacology, volume 89",https://www.goodreads.com/book/show/14832028-reviews-of-physiology-biochemistry-and-pharmacology-volume-89
0075-8434,Mixed Motives and Algebraic K-Theory,mixed motives and algebraic k-theory,https://link.springer.com/book/10.1007/BFb0085080
0302-9743,Spatio-Temporal Databases,spatio-temporal databases,https://www.omnisci.com/technical-glossary/spatial-temporal
0075-8434,Asymptotic Analysis of Soliton Problems,asymptotic analysis of soliton problems,https://link.springer.com/book/10.1007/BFb0073054
0301-5556,The Development of the Rat Hypothalamus,the development of the rat hypothalamus,https://pubmed.ncbi.nlm.nih.gov/3788679/
0302-9743,Text Analysis Pipelines,text analysis pipelines,https://link.springer.com/book/10.1007/978-3-319-25741-9
0231-424X,Acta Physiologica Hungarica,acta physiologica hungarica,https://akjournals.com/view/journals/036/036-overview.xml
0065-2598,Allergy and Respiration,allergy and respiration,https://www.respacare.net/2019/09/24/identify-early-signs-possible-breathing-allergies/
1559-2316,Plant Signaling & Behavior,plant signaling & behavior,https://www.nature.com/subjects/plant-signalling
0724-6145,Space and Terrestrial Biotechnology,space and terrestrial biotechnology,https://link.springer.com/book/10.1007/3-540-11464-5
1751-8326,Economic & Labour Market Review,economic & labour market review,https://www.investopedia.com/terms/e/economics.asp
0212-9728,Anales de Psicología,anales de psicología,https://revistas.um.es/analesps
2690-6015,Journal of First-generation Student Success,journal of first-generation student success,https://firstgen.naspa.org/research-and-policy/journal-of-first-generation-student-success/journal-of-first-generation-student-success
0022-3042,Journal of Neurochemistry,journal of neurochemistry,https://onlinelibrary.wiley.com/journal/14714159
0302-9743,CVRMed-MRCAS'97,cvrmed-mrcas'97,https://www.springer.com/us/book/9783540627340
0036-0244,Russian Journal of Physical Chemistry A,russian journal of physical chemistry a,https://www.springer.com/journal/11504
1936-0851,ACS Nano,acs nano,https://pubs.acs.org/journal/ancac3
1355-0284,Journal of NeuroVirology,journal of neurovirology,https://www.springer.com/journal/13365
1436-8730,Journal of Plant Nutrition and Soil Science,journal of plant nutrition and soil science,https://onlinelibrary.wiley.com/journal/15222624
0038-7010,Spectroscopy Letters,spectroscopy letters,https://www.tandfonline.com/toc/lstl20/current
1552-5260,Alzheimer's & Dementia,alzheimer's & dementia,https://www.alz.org/
1090-1027,Journal of Early Childhood Teacher Education,journal of early childhood teacher education,https://www.tandfonline.com/toc/ujec20/current
0210-3702,Infancia y Aprendizaje,infancia y aprendizaje,https://www.tandfonline.com/toc/riya20/current
0047-2816,Journal of Technical Writing and Communication,journal of technical writing and communication,https://journals.sagepub.com/home/jtw
1060-3271,Journal of AOAC INTERNATIONAL,journal of aoac international,https://www.aoac.org/journal-of-aoac-international/
1759-4812,Nature Reviews Urology,nature reviews urology,https://www.nature.com/nrurol/
0022-2615,Journal of Medical Microbiology,journal of medical microbiology,https://www.microbiologyresearch.org/content/journal/jmm
0002-8614,Journal of the American Geriatrics Society,journal of the american geriatrics society,https://agsjournals.onlinelibrary.wiley.com/journal/15325415
0042-8450,Military Medical and Pharmaceutical Journal of Serbia,military medical and pharmaceutical journal of serbia,https://www.worldcat.org/title/vojnosanitetski-pregled-military-medical-pharmaceutical-journal-of-serbia-montenegro/oclc/475490140
1535-6760,Applied Biosafety,applied biosafety,https://home.liebertpub.com/publications/applied-biosafety/661/overview
1063-4258,Atomic Energy,atomic energy,https://www.iaea.org/
0972-0529,Journal of Discrete Mathematical Sciences and Cryptography,journal of discrete mathematical sciences and cryptography,https://www.tandfonline.com/toc/tdmc20/current
2158-0014,Brain Connectivity,brain connectivity,https://home.liebertpub.com/publications/brain-connectivity/389/overview
1566-0621,Conservation Genetics,conservation genetics,https://www.springer.com/journal/10592
0199-9885,Annual Review of Nutrition,annual review of nutrition,https://www.annualreviews.org/journal/nutr
0910-9153,Nihon Bika Gakkai Kaishi (Japanese Journal of Rhinology),nihon bika gakkai kaishi (japanese journal of rhinology),https://www.jstage.jst.go.jp/browse/jjrhi/
1545-8490,Decision Analysis,decision analysis,https://www.investopedia.com/terms/d/decision-analysis.asp
0385-4213,IEEJ Transactions on Power and Energy,ieej transactions on power and energy,https://www.jstage.jst.go.jp/browse/ieejpes
1582-7445,Advances in Electrical and Computer Engineering,advances in electrical and computer engineering,https://aece.ro/
1050-6586,American Journal of Rhinology,american journal of rhinology,https://journals.sagepub.com/home/ajr
0895-4852,Academic Questions,academic questions,https://www.nas.org/academic-questions/about-academic-questions
1749-6799,Dental Nursing,dental nursing,https://careers.stateuniversity.com/pages/cvfjvnkuip/Dental-Nurse.html
1943-0663,IEEE Embedded Systems Letters,ieee embedded systems letters,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=4563995
1536-1276,IEEE Transactions on Wireless Communications,ieee transactions on wireless communications,https://www.comsoc.org/publications/journals/ieee-twc
0723-2977,Arbitrium,arbitrium,https://www.collinsdictionary.com/us/dictionary/english/arbitrium
0424-2084,Studies in Church History,studies in church history,https://www.cambridge.org/core/journals/studies-in-church-history
0030-6002,Orvosi Hetilap,orvosi hetilap,https://akjournals.com/view/journals/650/650-overview.xml
1462-0316,The Journal of Horticultural Science and Biotechnology,the journal of horticultural science and biotechnology,https://www.tandfonline.com/toc/thsb20/current
1472-8923,International Journal of Energy Technology and Policy,international journal of energy technology and policy,https://www.inderscience.com/jhome.php?jcode=ijetp
0040-5752,Der Z�chter Genetics and Breeding Research,der z�chter genetics and breeding research,https://www.springer.com/journal/122
0269-0942,Local Economy,local economy,https://journals.sagepub.com/home/lec
1464-9357,Planning Theory & Practice,planning theory & practice,https://journals.sagepub.com/home/plt
0251-1088,Environmentalist,environmentalist,https://www.dictionary.com/browse/environmentalist
1746-6962,International Journal of Inventory Research,international journal of inventory research,https://www.inderscience.com/jhome.php?jcode=ijir
1344-6193,Geosynthetics Engineering Journal,geosynthetics engineering journal,https://www.jstage.jst.go.jp/browse/jcigsjournal
1358-2291,International Journal of Discrimination and the Law,international journal of discrimination and the law,https://journals.sagepub.com/home/jdi
1050-0472,Journal of Mechanical Design,journal of mechanical design,https://asmedigitalcollection.asme.org/mechanicaldesign
0948-3055,Aquatic Microbial Ecology,aquatic microbial ecology,https://www.int-res.com/journals/ame/ame-home/
0302-5144,Recent Advances in Dialysis Therapy in Japan,recent advances in dialysis therapy in japan,https://www.karger.com/Book/Home/277117
0003-9756,European Journal of Sociology,european journal of sociology,https://www.cambridge.org/core/journals/european-journal-of-sociology-archives-europeennes-de-sociologie
0959-3985,Physiotherapy Theory and Practice,physiotherapy theory and practice,https://www.tandfonline.com/toc/iptp20/current
1560-683X,SA Journal of Information Management,sa journal of information management,https://sajim.co.za/
2394-9465,International Journal of Psychiatric Nursing,international journal of psychiatric nursing,https://ijpn.co/
2041-1006,Molecular Oral Microbiology,molecular oral microbiology,https://onlinelibrary.wiley.com/journal/20411014
0151-9107,Annales de Chimie - Science des Matériaux,annales de chimie - science des matériaux,https://www.iieta.org/Journals/ACSM
0393-2516,RIVISTA DI STORIA DELLA FILOSOFIA,rivista di storia della filosofia,https://www.francoangeli.it/Riviste/sommario.aspx?IDRivista=45&lingua=EN
1548-6605,US-China Law Review,us-china law review,https://neredataltics.org/asi/index.php/asi/article/view/769
0968-7688,Molecular Membrane Biology,molecular membrane biology,https://www.tandfonline.com/toc/imbc20/current
0889-3047,The Review of Austrian Economics,the review of austrian economics,https://www.springer.com/journal/11138
1477-9048,International Journal of Business Governance and Ethics,international journal of business governance and ethics,https://www.inderscience.com/jhome.php?jcode=ijbge
1643-1049,Physicochemical Problems of Mineral Processing,physicochemical problems of mineral processing,http://www.journalssystem.com/ppmp/
2040-1744,Journal of Developmental Origins of Health and Disease,journal of developmental origins of health and disease,https://www.cambridge.org/core/journals/journal-of-developmental-origins-of-health-and-disease
1743-9671,Journal of the Energy Institute,journal of the energy institute,https://www.journals.elsevier.com/journal-of-the-energy-institute
2199-3823,Journal of Sustainable Metallurgy,journal of sustainable metallurgy,https://www.springer.com/journal/40831
1776-2596,Targeted Oncology,targeted oncology,https://www.targetedonc.com/
1343-4152,Mammal Study,mammal study,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/mammal_study.pdf
1528-4336,HIV Clinical Trials,hiv clinical trials,https://hivinfo.nih.gov/understanding-hiv/fact-sheets/hiv-and-aids-clinical-trials
0971-8524,"Gender, Technology and Development","gender, technology and development",https://journals.sagepub.com/home/gtd
1226-363X,Journal of Korean Society of Steel Construction,journal of korean society of steel construction,http://www.ksscjournal.or.kr/
1474-6514,The British Journal of Diabetes & Vascular Disease,the british journal of diabetes & vascular disease,https://bjd-abcd.com/
0895-2779,Journal of Sport and Exercise Psychology,journal of sport and exercise psychology,https://journals.humankinetics.com/view/journals/jsep/jsep-overview.xml
0263-4929,Journal of Metamorphic Geology,journal of metamorphic geology,https://onlinelibrary.wiley.com/journal/15251314
1820-0214,Computer Science and Information Systems,computer science and information systems,http://www.comsis.org/
1321-6597,The Journal of International Communication,the journal of international communication,https://www.tandfonline.com/toc/rico20/current
1098-092X,Gender Issues,gender issues,https://www.springer.com/journal/12147
1470-2029,Journal of Visual Art Practice,journal of visual art practice,https://www.tandfonline.com/loi/rjvp20
1340-3540,Mycoscience,mycoscience,https://www.journals.elsevier.com/mycoscience
1939-4608,Synthesis Lectures on Artificial Intelligence and Machine Learning,synthesis lectures on artificial intelligence and machine learning,https://www.morganclaypool.com/toc/aim/1/1
0889-2229,AIDS Research and Human Retroviruses,aids research and human retroviruses,https://home.liebertpub.com/publications/aids-research-and-human-retroviruses/2
1612-4758,Anzeiger füur Schäadlingskunde,anzeiger füur schäadlingskunde,https://onlinelibrary.wiley.com/journal/14390280
1943-4472,Behavioral Sciences of Terrorism and Political Aggression,behavioral sciences of terrorism and political aggression,https://www.tandfonline.com/toc/rirt20/current
2635-5019,Audiology and Speech Research,audiology and speech research,https://www.e-asr.org/
0302-9743,Algorithm Theory - SWAT 2010,algorithm theory - swat 2010,https://link.springer.com/book/10.1007/978-3-642-13731-0
1865-0929,Advanced Machine Learning Technologies and Applications,advanced machine learning technologies and applications,https://link.springer.com/book/10.1007/978-3-642-35326-0
2252-8806,International Journal of Public Health Science (IJPHS),international journal of public health science (ijphs),https://ijphs.iaescore.com/
0084-2230,Hidden Hunger: Strategies to Improve Nutrition Quality,hidden hunger: strategies to improve nutrition quality,https://www.karger.com/Book/Home/276874
0075-8442,Advances in Optimization,advances in optimization,https://www.hindawi.com/journals/mpe/si/219019/
0361-0926,Communications in Statistics: Theory and Methods,communications in statistics: theory and methods,https://www.tandfonline.com/toc/lsta20/current
0176-4225,Quantitative Approaches to Linguistic Diversity,quantitative approaches to linguistic diversity,https://benjamins.com/catalog/bct.46
0742-3497,The Nonprofit Counsel,the nonprofit counsel,https://onlinelibrary.wiley.com/journal/15206785
0303-4216,Dye Lasers,dye lasers,https://www.rp-photonics.com/dye_lasers.html
1865-0929,Advances on Digital Television and Wireless Multimedia Communications,advances on digital television and wireless multimedia communications,https://link.springer.com/book/10.1007/978-3-642-34595-1
1756-4921,Studies in South Asian Film & Media,studies in south asian film & media,https://www.intellectbooks.com/studies-in-south-asian-film-media
0302-9743,CONPAR 86,conpar 86,https://link.springer.com/book/10.1007/3-540-16811-7
0302-9743,Middleware 2012,middleware 2012,https://link.springer.com/book/10.1007/978-3-642-35170-9
0075-8434,Banach Spaces of Analytic Functions,banach spaces of analytic functions,https://scholarship.richmond.edu/cgi/viewcontent.cgi?article=1645&context=honors-theses
1479-2206,Conversations in Religion and Theology,conversations in religion and theology,https://onlinelibrary.wiley.com/journal/14792214
1759-6599,"Journal of Aggression, Conflict and Peace Research","journal of aggression, conflict and peace research",https://www.emerald.com/insight/publication/issn/1759-6599
0097-6156,van't Hoff-Le Bel Centennial,van't hoff-le bel centennial,https://www.goodreads.com/book/show/3544244
0302-9743,"Description Logic, Theory Combination, and All That","description logic, theory combination, and all that",https://link.springer.com/book/10.1007/978-3-030-22102-7
1865-0929,Control and Automation,control and automation,https://conauto.com/
1614-6832,Laser Physics Review,laser physics review,https://onlinelibrary.wiley.com/journal/18638899
1307-7635,Turkish Journal of Dermatology,turkish journal of dermatology,https://www.tjdonline.org/
0097-6156,Environmental Geochemistry of Sulfide Oxidation,environmental geochemistry of sulfide oxidation,https://pubs.acs.org/isbn/9780841227729
0075-8434,Théorie des Matroïdes,théorie des matroïdes,https://www.lirmm.fr/~gioan/telecharger/2013%20Gioan%20Ramirez-Alfonsin%20-%20Cours%20sur%20les%20matroides%20(orientes)%20-%20GDRIM2013.pdf
0075-8434,Equivariant Poincaré Duality on G-Manifolds,equivariant poincaré duality on g-manifolds,https://link.springer.com/book/10.1007/978-3-030-70440-7
1672-7681,Cellular and Molecular Immunology,cellular and molecular immunology,https://www.nature.com/cmi/
0454-1146,Journal of the Mineralogical Society of Japan,journal of the mineralogical society of japan,https://www.jstage.jst.go.jp/browse/gkk1952
0303-4216,Holographic Recording Materials,holographic recording materials,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/2405/0000/Holographic-recording-materials-an-overview/10.1117/12.205350.full
0953-8186,International Journal Of Refugee Law,international journal of refugee law,https://academic.oup.com/ijrl
0075-8434,Regular Variation and Differential Equations,regular variation and differential equations,https://link.springer.com/book/10.1007/BFb0103952
0302-9743,Formal Methods for Dynamical Systems,formal methods for dynamical systems,https://ieeexplore.ieee.org/document/6940367
0165-4004,FLIN,flin,https://www.franklintempleton.com/investments/options/exchange-traded-funds/products/26348/SINGLCLASS/franklin-ftse-india-etf/FLIN
0022-2844,Journal Of Molecular Evolution,journal of molecular evolution,https://www.springer.com/journal/239
1865-0929,Videogame Sciences and Arts,videogame sciences and arts,https://link.springer.com/book/10.1007/978-3-030-37983-4
0097-6156,Upgrading Coal Liquids,upgrading coal liquids,https://link.springer.com/content/pdf/10.1007/978-94-017-1045-9_16.pdf
0075-8434,Traces of Differential Forms and Hochschild Homology,traces of differential forms and hochschild homology,https://link.springer.com/book/10.1007/BFb0098406
0923-7534,Annals Of Oncology,annals of oncology,https://www.journals.elsevier.com/annals-of-oncology
2072-1439,Journal of Thoracic Diseases,journal of thoracic diseases,https://jtd.amegroups.com/
2168-0485,ACS Sustainable Chemistry & Engineering,acs sustainable chemistry & engineering,https://pubs.acs.org/journal/ascecg
0218-8635,Journal of Nonlinear Optical Physics & Materials,journal of nonlinear optical physics & materials,https://www.worldscientific.com/worldscinet/jnopm
0002-9602,American Journal of Sociology,american journal of sociology,https://www.journals.uchicago.edu/toc/ajs/current
0953-8984,Journal of Physics: Condensed Matter,journal of physics: condensed matter,https://iopscience.iop.org/journal/0953-8984
1539-1604,Pharmaceutical Statistics,pharmaceutical statistics,https://onlinelibrary.wiley.com/journal/15391612
0042-9007,Vox Sanguinis,vox sanguinis,https://onlinelibrary.wiley.com/journal/14230410
0963-8288,Disability and Rehabilitation,disability and rehabilitation,https://www.tandfonline.com/toc/idre20/current
0734-0451,Seminars in Hearing,seminars in hearing,https://www.thieme.com/books-main/audiology/product/2188-seminars-in-hearing
0899-8418,International Journal of Climatology,international journal of climatology,https://rmets.onlinelibrary.wiley.com/journal/10970088
1341-0725,Sangyo Eiseigaku Zasshi,sangyo eiseigaku zasshi,https://www.jstage.jst.go.jp/browse/sangyoeisei
0364-2348,Skeletal Radiology,skeletal radiology,https://www.springer.com/journal/256
1823-4208,Journal of Design and Built Environment,journal of design and built environment,https://ejournal.um.edu.my/index.php/jdbe
1049-3255,The Department Chair,the department chair,https://onlinelibrary.wiley.com/journal/19364393
0080-0015,Recent Results in Cancer Research,recent results in cancer research,https://www.springer.com/series/392
0340-2061,Anatomy and Embryology,anatomy and embryology,https://teachmeanatomy.info/the-basics/embryology/
1687-7357,Advances in High Energy Physics,advances in high energy physics,https://www.hindawi.com/journals/ahep/
1206-212X,International Journal of Computers and Applications,international journal of computers and applications,https://www.tandfonline.com/toc/tjca20/current
0046-2772,European Journal of Social Psychology,european journal of social psychology,https://onlinelibrary.wiley.com/journal/10990992
0012-2017,dialectica,dialectica,https://dialecticanet.com/
