Journal Title,ISSN,Reason,Journal Title Normalized,URL,Data Source,added,Remove_Date,Add_Date,reason_category,Folder
AE International Journal of  Multidisciplinary Research,Unknown,A,ae international journal of  multidisciplinary research,www.aeijmr.com,Gray OA,,,,interesting reason,www.aeijmr.com
AE International Journal of Science and Technology,Unknown,A,ae international journal of science and technology,www.aeijst.in,Gray OA,,,,interesting reason,www.aeijst.in
International Journal of Exclusive Management Research,Unknown,A,international journal of exclusive management research,www.ijemr.in,Gray OA,,,,interesting reason,www.ijemr.in
Journal of Exclusive Management Science,Unknown,A,journal of exclusive management science,www.jems.net.in,Gray OA,,,,interesting reason,www.jems.net.in
Journal of Agri-Food and Applied Sciences,Unknown,A,journal of agri-food and applied sciences,http://www.blue-ap.org/j/Journal_of_Agri-Food_and_Applied_Sciences/,Gray OA,,,,interesting reason,http:__www.blue-ap.org_j_Journal_of_Agri-Food_and_Applied_Sciences_
Journal of Business Management & Social Science Research,Unknown,A,journal of business management & social science research,http://borjournals.com/a/index.php/jbmssr,Gray OA,,,,interesting reason,http:__borjournals.com_a_index.php_jbmssr
Journal of Business & Management (COES&RJ-JBM),Unknown,A,journal of business & management (coes&rj-jbm),http://www.centreofexcellence.net/J/JBM/JBM%20Mainpage.htm,Gray OA,,,,interesting reason,http:__www.centreofexcellence.net_J_JBM_JBM%20Mainpage.htm
Journal of Social Sciences (COES&RJ-JSS),Unknown,A,journal of social sciences (coes&rj-jss),http://www.centreofexcellence.net/J/JSS/JSS%20Mainpage.htm,Gray OA,,,,interesting reason,http:__www.centreofexcellence.net_J_JSS_JSS%20Mainpage.htm
Issues and Ideas in Education,Unknown,A,issues and ideas in education,http://www.iie.chitkara.edu.in/,Gray OA,,,,interesting reason,http:__www.iie.chitkara.edu.in_
Journal of Technology Management for Growing Economies (JTMGE),Unknown,A,journal of technology management for growing economies (jtmge),http://tmgejournal.com/,Gray OA,,,,interesting reason,http:__tmgejournal.com_
Indian Journal of Economics and Development,Unknown,A,indian journal of economics and development,http://ijed.informaticspublishing.com/,Gray OA,,,,interesting reason,http:__ijed.informaticspublishing.com_
Indian Journal of Innovations and Developments,Unknown,A,indian journal of innovations and developments,http://ijid.informaticspublishing.com/,Gray OA,,,,interesting reason,http:__ijid.informaticspublishing.com_
"International Journal of Linguistics, Literature and Culture",Unknown,A,"international journal of linguistics, literature and culture",http://ijcu.us/online/journal/index.php/ijllc,Gray OA,,,,interesting reason,http:__ijcu.us_online_journal_index.php_ijllc
"International Research Journal of Engineering, IT and Scientific Research",Unknown,A,"international research journal of engineering, it and scientific research",http://ijcu.us/online/journal/index.php/irjeis,Gray OA,,,,interesting reason,http:__ijcu.us_online_journal_index.php_irjeis
"International Research Journal of Management, IT and Social Sciences",Unknown,A,"international research journal of management, it and social sciences",http://ijcu.us/online/journal/index.php/irjmis,Gray OA,,,,interesting reason,http:__ijcu.us_online_journal_index.php_irjmis
International Journal of Advanced & Integrated Medical Sciences,Unknown,A,international journal of advanced & integrated medical sciences,http://www.ijaims.com/,Gray OA,,,,interesting reason,http:__www.ijaims.com_
Journal of Spinal Surgery,Unknown,A,journal of spinal surgery,http://www.jossworld.com/,Gray OA,,,,interesting reason,http:__www.jossworld.com_
Journal of Biology and Today's World,Unknown,A,journal of biology and today's world,http://journals.lexispublisher.com/jbtw.html,Gray OA,,,,interesting reason,http:__journals.lexispublisher.com_jbtw.html
Micro & Nano Biomedicine,Unknown,A,micro & nano biomedicine,http://journals.lexispublisher.com/mnb.html,Gray OA,,,,interesting reason,http:__journals.lexispublisher.com_mnb.html
Advances in Cytology & Pathology,Unknown,A,advances in cytology & pathology,View…,Gray OA,,,,interesting reason,View…
"Advances in Obesity, Weight Management & Control",Unknown,A,"advances in obesity, weight management & control",View…,Gray OA,,,,interesting reason,View…
Advances in Ophthalmology & Visual System,Unknown,A,advances in ophthalmology & visual system,View...,Gray OA,,,,interesting reason,View...
Advances in Plants & Agriculture Research,Unknown,A,advances in plants & agriculture research,View...,Gray OA,,,,interesting reason,View...
Advances in Tissue Engineering & Regenerative Medicine: Open Access,Unknown,A,advances in tissue engineering & regenerative medicine: open access,View...,Gray OA,,,,interesting reason,View...
Biodiversity International Journal,Unknown,A,biodiversity international journal,View...,Gray OA,,,,interesting reason,View...
Biometrics & Biostatistics International Journal,Unknown,A,biometrics & biostatistics international journal,View...,Gray OA,,,,interesting reason,View...
Endocrinology & Metabolism International Journal,Unknown,A,endocrinology & metabolism international journal,View...,Gray OA,,,,interesting reason,View...
Forensic Research & Criminology International Journal,Unknown,A,forensic research & criminology international journal,View...,Gray OA,,,,interesting reason,View...
Gastroenterology & Hepatology: Open Access,Unknown,A,gastroenterology & hepatology: open access,View...,Gray OA,,,,interesting reason,View...
Hematology & Transfusion International Journal,Unknown,A,hematology & transfusion international journal,View...,Gray OA,,,,interesting reason,View...
International Clinical Pathology Journal,Unknown,A,international clinical pathology journal,View...,Gray OA,,,,interesting reason,View...
International Journal of Avian & Wildlife Biology,Unknown,A,international journal of avian & wildlife biology,View...,Gray OA,,,,interesting reason,View...
International Journal of Biosensors & Bioelectronics,Unknown,A,international journal of biosensors & bioelectronics,View...,Gray OA,,,,interesting reason,View...
International Journal of Complementary & Alternative Medicine,Unknown,A,international journal of complementary & alternative medicine,View...,Gray OA,,,,interesting reason,View...
International Journal of Hydrology,Unknown,A,international journal of hydrology,View…,Gray OA,,,,interesting reason,View…
International Journal of Molecular Biology: Open Access,Unknown,A,international journal of molecular biology: open access,View...,Gray OA,,,,interesting reason,View...
International Journal of Petrochemical Science & Engineering,Unknown,A,international journal of petrochemical science & engineering,View...,Gray OA,,,,interesting reason,View...
International Journal of Pregnancy & Child Birth,Unknown,A,international journal of pregnancy & child birth,View...,Gray OA,,,,interesting reason,View...
International Journal of Radiology & Radiation Therapy,Unknown,A,international journal of radiology & radiation therapy,View...,Gray OA,,,,interesting reason,View...
International Journal of Vaccines & Vaccination,Unknown,A,international journal of vaccines & vaccination,View...,Gray OA,,,,interesting reason,View...
International Physical Medicine & Rehabilitation Journal,Unknown,A,international physical medicine & rehabilitation journal,View...,Gray OA,,,,interesting reason,View...
International Robotics & Automation Journal,Unknown,A,international robotics & automation journal,View...,Gray OA,,,,interesting reason,View...
Journal of Analytical & Pharmaceutical Research,Unknown,A,journal of analytical & pharmaceutical research,View...,Gray OA,,,,interesting reason,View...
Journal of Anesthesia & Critical Care: Open Access,Unknown,A,journal of anesthesia & critical care: open access,View...,Gray OA,,,,interesting reason,View...
Journal of Applied Biotechnology & Bioengineering,Unknown,A,journal of applied biotechnology & bioengineering,View...,Gray OA,,,,interesting reason,View...
Journal of Aquaculture & Marine Biology,Unknown,A,journal of aquaculture & marine biology,View...,Gray OA,,,,interesting reason,View...
Journal of Bacteriology & Mycology: Open Access,Unknown,A,journal of bacteriology & mycology: open access,View...,Gray OA,,,,interesting reason,View...
Journal of Cancer Prevention & Current Research,Unknown,A,journal of cancer prevention & current research,View...,Gray OA,,,,interesting reason,View...
Journal of Cardiology & Current Research,Unknown,A,journal of cardiology & current research,View...,Gray OA,,,,interesting reason,View...
"Journal of Dairy, Veterinary & Animal Research",Unknown,A,"journal of dairy, veterinary & animal research",View...,Gray OA,,,,interesting reason,View...
"Journal of Dental Health, Oral Disorders & Therapy",Unknown,A,"journal of dental health, oral disorders & therapy",View...,Gray OA,,,,interesting reason,View...
Journal of Dermatology & Cosmetology,Unknown,A,journal of dermatology & cosmetology,View…,Gray OA,,,,interesting reason,View…
"Journal of Diabetes, Metabolic Disorders & Control",Unknown,A,"journal of diabetes, metabolic disorders & control",View...,Gray OA,,,,interesting reason,View...
Journal of Historical Archaeology & Anthropological Sciences,Unknown,A,journal of historical archaeology & anthropological sciences,View...,Gray OA,,,,interesting reason,View...
Journal of Human Virology & Retrovirology,Unknown,A,journal of human virology & retrovirology,View...,Gray OA,,,,interesting reason,View...
Journal of Investigative Genomics,Unknown,A,journal of investigative genomics,View...,Gray OA,,,,interesting reason,View...
"Journal of Liver Research, Disorders & Therapy",Unknown,A,"journal of liver research, disorders & therapy",View...,Gray OA,,,,interesting reason,View...
"Journal of Lung, Pulmonary & Respiratory Research",Unknown,A,"journal of lung, pulmonary & respiratory research",View...,Gray OA,,,,interesting reason,View...
Journal of Microbiology & Experimentation,Unknown,A,journal of microbiology & experimentation,View...,Gray OA,,,,interesting reason,View...
Journal of Nanomedicine Research,Unknown,A,journal of nanomedicine research,View...,Gray OA,,,,interesting reason,View...
Journal of Neurology & Stroke,Unknown,A,journal of neurology & stroke,View...,Gray OA,,,,interesting reason,View...
Journal of Nutritional Health & Food Engineering,Unknown,A,journal of nutritional health & food engineering,View...,Gray OA,,,,interesting reason,View...
Journal of Otolaryngology-ENT Research,Unknown,A,journal of otolaryngology-ent research,View...,Gray OA,,,,interesting reason,View...
"Journal of Pancreatic Research, Disorders & Therapy",Unknown,A,"journal of pancreatic research, disorders & therapy",View...,Gray OA,,,,interesting reason,View...
Journal of Pediatrics & Neonatal Care,Unknown,A,journal of pediatrics & neonatal care,View...,Gray OA,,,,interesting reason,View...
Journal of Stem Cell Research & Therapeutics,Unknown,A,journal of stem cell research & therapeutics,View...,Gray OA,,,,interesting reason,View...
Journal of Textile Engineering & Fashion Technology,Unknown,A,journal of textile engineering & fashion technology,View...,Gray OA,,,,interesting reason,View...
Material Science & Engineering International Journal,Unknown,A,material science & engineering international journal,View…,Gray OA,,,,interesting reason,View…
MOJ Addiction Medicine & Therapy,Unknown,A,moj addiction medicine & therapy,View...,Gray OA,,,,interesting reason,View...
MOJ Anatomy & Physiology,Unknown,A,moj anatomy & physiology,View...,Gray OA,,,,interesting reason,View...
MOJ Applied Bionics and Biomechanics,Unknown,A,moj applied bionics and biomechanics,View...,Gray OA,,,,interesting reason,View...
MOJ Autoimmune Diseases,Unknown,A,moj autoimmune diseases,View...,Gray OA,,,,interesting reason,View...
MOJ Bioequivalence & Bioavailability,Unknown,A,moj bioequivalence & bioavailability,View...,Gray OA,,,,interesting reason,View...
MOJ Biology and Medicine,Unknown,A,moj biology and medicine,View…,Gray OA,,,,interesting reason,View…
MOJ Bioorganic & Organic Chemistry,Unknown,A,moj bioorganic & organic chemistry,View...,Gray OA,,,,interesting reason,View...
MOJ Cell Science & Report,Unknown,A,moj cell science & report,View...,Gray OA,,,,interesting reason,View...
MOJ Civil Engineering,Unknown,A,moj civil engineering,View...,Gray OA,,,,interesting reason,View...
MOJ Clinical & Medical Case Reports,Unknown,A,moj clinical & medical case reports,View...,Gray OA,,,,interesting reason,View...
MOJ Ecology & Environmental Sciences,Unknown,A,moj ecology & environmental sciences,View...,Gray OA,,,,interesting reason,View...
MOJ Food Processing & Technology,Unknown,A,moj food processing & technology,View...,Gray OA,,,,interesting reason,View...
MOJ Gerontology & Geriatrics,Unknown,A,moj gerontology & geriatrics,View...,Gray OA,,,,interesting reason,View...
MOJ Immunology,Unknown,A,moj immunology,View...,Gray OA,,,,interesting reason,View...
MOJ Orthopedics & Rheumatology,Unknown,A,moj orthopedics & rheumatology,View...,Gray OA,,,,interesting reason,View...
MOJ Polymer Science,Unknown,A,moj polymer science,View...,Gray OA,,,,interesting reason,View...
MOJ Proteomics & Bioinformatics,Unknown,A,moj proteomics & bioinformatics,View...,Gray OA,,,,interesting reason,View...
MOJ Public Health,Unknown,A,moj public health,View...,Gray OA,,,,interesting reason,View...
MOJ Sports Medicine,Unknown,A,moj sports medicine,View...,Gray OA,,,,interesting reason,View...
MOJ Surgery,Unknown,A,moj surgery,View...,Gray OA,,,,interesting reason,View...
MOJ Toxicology,Unknown,A,moj toxicology,View...,Gray OA,,,,interesting reason,View...
MOJ Women's Health,Unknown,A,moj women's health,View...,Gray OA,,,,interesting reason,View...
MOJ Yoga & Physical Therapy,Unknown,A,moj yoga & physical therapy,View...,Gray OA,,,,interesting reason,View...
Nursing & Care Open Access Journal,Unknown,A,nursing & care open access journal,View...,Gray OA,,,,interesting reason,View...
Obstetrics & Gynecology International Journal,Unknown,A,obstetrics & gynecology international journal,View...,Gray OA,,,,interesting reason,View...
Open Access Journal of Photoenergy,Unknown,A,open access journal of photoenergy,View...,Gray OA,,,,interesting reason,View...
Pharmacy & Pharmacology International Journal,Unknown,A,pharmacy & pharmacology international journal,View…,Gray OA,,,,interesting reason,View…
Reproductive System & Sexual Disorders International Journal,Unknown,A,reproductive system & sexual disorders international journal,View...,Gray OA,,,,interesting reason,View...
Sleep Medicine and Disorders: International Journal,Unknown,A,sleep medicine and disorders: international journal,View...,Gray OA,,,,interesting reason,View...
Urology & Nephrology Open Access Journal,Unknown,A,urology & nephrology open access journal,View...,Gray OA,,,,interesting reason,View...
Global Journal of Advanced Nursing Practice,Unknown,A,global journal of advanced nursing practice,Detailed ,Gray OA,,,,interesting reason,Detailed 
American Journal of Essential Oils and Natural Products,Unknown,A,american journal of essential oils and natural products,www.essencejournal.com,Gray OA,,,,interesting reason,www.essencejournal.com
European Journal of Biotechnology and Bioscience,Unknown,A,european journal of biotechnology and bioscience,www.biosciencejournals.com,Gray OA,,,,interesting reason,www.biosciencejournals.com
International Journal of Academic Research and Development,Unknown,A,international journal of academic research and development,www.academicsjournal.com,Gray OA,,,,interesting reason,www.academicsjournal.com
International Journal of Advanced Education and Research,Unknown,A,international journal of advanced education and research,www.alleducationjournal.com,Gray OA,,,,interesting reason,www.alleducationjournal.com
International Journal of Advanced Educational Research,Unknown,A,international journal of advanced educational research,www.educationjournal.org,Gray OA,,,,interesting reason,www.educationjournal.org
International Journal of Advanced Research and Development,Unknown,A,international journal of advanced research and development,www.advancedjournal.com,Gray OA,,,,interesting reason,www.advancedjournal.com
International Journal of Advanced Science and Research,Unknown,A,international journal of advanced science and research,www.allsciencejournal.com,Gray OA,,,,interesting reason,www.allsciencejournal.com
International Journal of Advanced Scientific Research,Unknown,A,international journal of advanced scientific research,www.allscientificjournal.com,Gray OA,,,,interesting reason,www.allscientificjournal.com
International Journal of Applied Dental Sciences,Unknown,A,international journal of applied dental sciences,www.oraljournal.com,Gray OA,,,,interesting reason,www.oraljournal.com
International Journal of Applied Research,Unknown,A,international journal of applied research,www.allresearchjournal.com,Gray OA,,,,interesting reason,www.allresearchjournal.com
International Journal of Biology Research,Unknown,A,international journal of biology research,www.biologyjournal.in,Gray OA,,,,interesting reason,www.biologyjournal.in
International Journal of Botany Studies,Unknown,A,international journal of botany studies,www.botanyjournals.com,Gray OA,,,,interesting reason,www.botanyjournals.com
International Journal of Chemical Studies,Unknown,A,international journal of chemical studies,www.chemijournal.com,Gray OA,,,,interesting reason,www.chemijournal.com
International Journal of Commerce and Management Research,Unknown,A,international journal of commerce and management research,www.managejournal.com,Gray OA,,,,interesting reason,www.managejournal.com
International Journal of English Research,Unknown,A,international journal of english research,www.englishjournals.com,Gray OA,,,,interesting reason,www.englishjournals.com
International Journal of Entomology Research,Unknown,A,international journal of entomology research,www.entomologyjournals.com,Gray OA,,,,interesting reason,www.entomologyjournals.com
International Journal of Fauna and Biological Studies,Unknown,A,international journal of fauna and biological studies,www.faunajournal.com,Gray OA,,,,interesting reason,www.faunajournal.com
International Journal of Fisheries and Aquatic Studies,Unknown,A,international journal of fisheries and aquatic studies,www.fisheriesjournal.com,Gray OA,,,,interesting reason,www.fisheriesjournal.com
International Journal of Food Science and Nutrition,Unknown,A,international journal of food science and nutrition,www.foodsciencejournal.com,Gray OA,,,,interesting reason,www.foodsciencejournal.com
International Journal of Hindi Research,Unknown,A,international journal of hindi research,www.hindijournal.com,Gray OA,,,,interesting reason,www.hindijournal.com
International Journal of Home Science,Unknown,A,international journal of home science,www.homesciencejournal.com,Gray OA,,,,interesting reason,www.homesciencejournal.com
International Journal of Law,Unknown,A,international journal of law,www.lawjournals.org,Gray OA,,,,interesting reason,www.lawjournals.org
International Journal of Medical and Health Research,Unknown,A,international journal of medical and health research,www.medicalsciencejournal.com,Gray OA,,,,interesting reason,www.medicalsciencejournal.com
International Journal of Medicine Research,Unknown,A,international journal of medicine research,www.medicinesjournal.com,Gray OA,,,,interesting reason,www.medicinesjournal.com
International Journal of Multidisciplinary Education and Research,Unknown,A,international journal of multidisciplinary education and research,www.educationjournal.in,Gray OA,,,,interesting reason,www.educationjournal.in
International Journal of Multidisciplinary Research and Development,Unknown,A,international journal of multidisciplinary research and development,www.allsubjectjournal.com,Gray OA,,,,interesting reason,www.allsubjectjournal.com
International Journal of Orthopaedics Sciences,Unknown,A,international journal of orthopaedics sciences,www.orthopaper.com,Gray OA,,,,interesting reason,www.orthopaper.com
International Journal of Pharmaceutical Science and Research,Unknown,A,international journal of pharmaceutical science and research,www.pharmacyjournal.net,Gray OA,,,,interesting reason,www.pharmacyjournal.net
"International Journal of Physical Education, Sports and Health",Unknown,A,"international journal of physical education, sports and health",www.kheljournal.com,Gray OA,,,,interesting reason,www.kheljournal.com
"International Journal of Physiology, Nutrition and Physical Education",Unknown,A,"international journal of physiology, nutrition and physical education",www.journalofsports.com,Gray OA,,,,interesting reason,www.journalofsports.com
International Journal of Research in Advanced Engineering and Technology,Unknown,A,international journal of research in advanced engineering and technology,www.newengineeringjournal.in,Gray OA,,,,interesting reason,www.newengineeringjournal.in
International Journal of Research in Pharmacy and Pharmaceutical Sciences,Unknown,A,international journal of research in pharmacy and pharmaceutical sciences,www.pharmacyjournal.in,Gray OA,,,,interesting reason,www.pharmacyjournal.in
International Journal of Sanskrit Research,Unknown,A,international journal of sanskrit research,www.anantaajournal.com,Gray OA,,,,interesting reason,www.anantaajournal.com
International Journal of Statistics and Applied Mathematics,Unknown,A,international journal of statistics and applied mathematics,www.mathsjournal.com,Gray OA,,,,interesting reason,www.mathsjournal.com
International Journal of Zoology Studies,Unknown,A,international journal of zoology studies,www.zoologyjournals.com,Gray OA,,,,interesting reason,www.zoologyjournals.com
Journal of Medicinal Plants Studies,Unknown,A,journal of medicinal plants studies,www.plantsjournal.com,Gray OA,,,,interesting reason,www.plantsjournal.com
National Journal of Advanced Research,Unknown,A,national journal of advanced research,www.allnationaljournal.com,Gray OA,,,,interesting reason,www.allnationaljournal.com
National Journal of Multidisciplinary Research and Development,Unknown,A,national journal of multidisciplinary research and development,www.nationaljournals.com,Gray OA,,,,interesting reason,www.nationaljournals.com
The Pharma Innovation,Unknown,A,the pharma innovation,www.thepharmajournal.com,Gray OA,,,,interesting reason,www.thepharmajournal.com
International Research Journal of Interdisciplinary & Multidisciplinary Studies,Unknown,A,international research journal of interdisciplinary & multidisciplinary studies,http://www.irjims.com/,Gray OA,,,,interesting reason,http:__www.irjims.com_
Science Journal of Sociology and Anthropology,Unknown,A,science journal of sociology and anthropology,Read More,Gray OA,,,,interesting reason,Read More
Journal of Alzeimers Parkinsonism & Dementia,Unknown,A,journal of alzeimers parkinsonism & dementia,Visit Journal,Gray OA,,,,interesting reason,Visit Journal
"Journal of Blood Disorders, Symptoms & Treatments",Unknown,A,"journal of blood disorders, symptoms & treatments",Visit Journal,Gray OA,,,,interesting reason,Visit Journal
Journal of Clinical Anesthesia and Pain Medicine,Unknown,A,journal of clinical anesthesia and pain medicine,Visit Journal,Gray OA,,,,interesting reason,Visit Journal
Journal of Dental and Oral Health,Unknown,A,journal of dental and oral health,Visit Journal,Gray OA,,,,interesting reason,Visit Journal
Journal of General and Emergency Medicine,Unknown,A,journal of general and emergency medicine,Visit Journal,Gray OA,,,,interesting reason,Visit Journal
Journal of Global Diabetes & Clinical Metabolism,Unknown,A,journal of global diabetes & clinical metabolism,Visit Journal,Gray OA,,,,interesting reason,Visit Journal
"Journal of Immunology, Infection & Inlamatory Diseases",Unknown,A,"journal of immunology, infection & inlamatory diseases",Visit Journal,Gray OA,,,,interesting reason,Visit Journal
Journal of Primary Health Care & General Practice,Unknown,A,journal of primary health care & general practice,Visit Journal,Gray OA,,,,interesting reason,Visit Journal
Womens Health & Gynecology,Unknown,A,womens health & gynecology,Visit Journal,Gray OA,,,,interesting reason,Visit Journal
Journal of Next Generation Information Technology,Unknown,A,journal of next generation information technology,http://www.globalcis.org/jnit/home/index.html,Gray OA,,,,interesting reason,http:__www.globalcis.org_jnit_home_index.html
International Journal of Artificial Intelligence and Mechatronics,Unknown,A,international journal of artificial intelligence and mechatronics,www.ijaim.org,Gray OA,,,,interesting reason,www.ijaim.org
International Journal of Innovation and Research in Educational Sciences,Unknown,A,international journal of innovation and research in educational sciences,www.ijires.org,Gray OA,,,,interesting reason,www.ijires.org
International Journal of Innovation in Science and Mathematics,Unknown,A,international journal of innovation in science and mathematics,www.ijism.org,Gray OA,,,,interesting reason,www.ijism.org
International Journal of Research And Innovations in Earth Science,Unknown,A,international journal of research and innovations in earth science,www.ijries.org,Gray OA,,,,interesting reason,www.ijries.org
International Journal of Research in Agricultural Sciences,Unknown,A,international journal of research in agricultural sciences,www.ijras.org,Gray OA,,,,interesting reason,www.ijras.org
AGRIVITA Journal of Agricultural Science,0126-0537,Still in DOAJ index,agrivita journal of agricultural science,http://agrivita.ub.ac.id/index.php/agrivita,DOAJ,1.0,1300-01-01 00:00:00,2018-03-13 00:00:00,interesting reason,http:__agrivita.ub.ac.id_index.php_agrivita
"AMJAU, African and Mediterranean Journal of Architecture and Urbanism",2665-7953,Still in DOAJ index,"amjau, african and mediterranean journal of architecture and urbanism",https://revues.imist.ma/index.php?journal=AMJAU,DOAJ,1.0,1300-01-01 00:00:00,2020-06-03 00:00:00,interesting reason,https:__revues.imist.ma_index.php?journal=AMJAU
Actualidad Contable Faces,1316-8533,Still in DOAJ index,actualidad contable faces,http://erevistas.saber.ula.ve/index.php/actualidadcontable/issue/archive,DOAJ,1.0,1300-01-01 00:00:00,2019-12-16 00:00:00,interesting reason,http:__erevistas.saber.ula.ve_index.php_actualidadcontable_issue_archive
Administory,2519-1187,Still in DOAJ index,administory,https://adhi.univie.ac.at,DOAJ,1.0,1300-01-01 00:00:00,2017-09-20 00:00:00,interesting reason,https:__adhi.univie.ac.at
Advances in Applied Agricultural Sciences,2383-4234,Still in DOAJ index,advances in applied agricultural sciences,http://aaasjournal.org/,DOAJ,1.0,1300-01-01 00:00:00,2018-01-10 00:00:00,interesting reason,http:__aaasjournal.org_
Agrarian,1984-2538,Still in DOAJ index,agrarian,http://ojs.ufgd.edu.br/index.php/agrarian,DOAJ,1.0,1300-01-01 00:00:00,2018-04-18 00:00:00,interesting reason,http:__ojs.ufgd.edu.br_index.php_agrarian
Akuisisi,1978-6581,Still in DOAJ index,akuisisi,http://fe.ummetro.ac.id/ejournal/index.php/JA/index,DOAJ,1.0,1300-01-01 00:00:00,2017-08-07 00:00:00,interesting reason,http:__fe.ummetro.ac.id_ejournal_index.php_JA_index
Albuquerque,1983-9472,Still in DOAJ index,albuquerque,https://periodicos.ufms.br/index.php/AlbRHis/index,DOAJ,1.0,1300-01-01 00:00:00,2019-10-08 00:00:00,interesting reason,https:__periodicos.ufms.br_index.php_AlbRHis_index
Aldea Mundo,1316-6727,Still in DOAJ index,aldea mundo,http://erevistas.saber.ula.ve/index.php/aldeamundo/index,DOAJ,1.0,1300-01-01 00:00:00,2018-04-10 00:00:00,interesting reason,http:__erevistas.saber.ula.ve_index.php_aldeamundo_index
"Analele Universitatii ""Eftimie Murgu"" Resita: Fascicola II, Studii Economice",2344-6315,Still in DOAJ index,"analele universitatii ""eftimie murgu"" resita: fascicola ii, studii economice",http://www.analefseauem.ro/index/language-english/,DOAJ,1.0,1300-01-01 00:00:00,2019-08-16 00:00:00,interesting reason,http:__www.analefseauem.ro_index_language-english_
Applied Journal of Environmental Engineering Science,2509-2065,Still in DOAJ index,applied journal of environmental engineering science,http://revues.imist.ma/index.php?journal=AJEES&page=index,DOAJ,1.0,1300-01-01 00:00:00,2018-06-22 00:00:00,interesting reason,http:__revues.imist.ma_index.php?journal=AJEES&page=index
ArReDia,2316-6169,Still in DOAJ index,arredia,http://ojs.ufgd.edu.br/index.php/arredia,DOAJ,1.0,1300-01-01 00:00:00,2018-04-18 00:00:00,interesting reason,http:__ojs.ufgd.edu.br_index.php_arredia
Arabian Journal of Medicinal and Aromatic Plants,2458-5920,Still in DOAJ index,arabian journal of medicinal and aromatic plants,https://revues.imist.ma/index.php?journal=AJMAP&page=index,DOAJ,1.0,1300-01-01 00:00:00,2020-05-27 00:00:00,interesting reason,https:__revues.imist.ma_index.php?journal=AJMAP&page=index
Archai: Revista de Estudos sobre as Origens do Pensamento Ocidental,2179-4960,Still in DOAJ index,archai: revista de estudos sobre as origens do pensamento ocidental,https://impactum-journals.uc.pt/archai,DOAJ,1.0,1300-01-01 00:00:00,2016-02-03 00:00:00,interesting reason,https:__impactum-journals.uc.pt_archai
