Issn,journal_name
1475-1461,Socio-Economic Review
0387-1193,The Journal of the Japanese Society of Clinical Cytology
1387-9316,Sign Language & Linguistics
2395-1435,Agricultural Research Journal
1990-4789,Journal of Applied and Industrial Mathematics
0302-9743,Medical Image Computing and Computer-Assisted Intervention – MICCAI 2011
1876-4533,Medicine Studies
0302-9743,Testing of Communicating Systems
2042-3489,New Journal of Botany
0975-0878,Insight on Africa
1320-0968,Australian Feminist Law Journal
1678-5622,Revista de Educação Popular
2041-1863,Bulletin for the Study of Religion
1567-715X,Kronoscope
0424-7760,Electronics & Communications in Japan
2161-2234,Thought: A Journal of Philosophy
2304-3881,Hepatobiliary Surgery and Nutrition
0302-9743,Advanced Analysis and Learning on Temporal Data
1865-0929,Theory and Practice of Digital Libraries - TPDL 2013 Selected Workshops
0302-9743,Multilingual Information Access Evaluation I. Text Retrieval Experiments
0026-6493,Annals of the Missouri Botanical Garden
1913-1925,Journal of Student Science and Technology
0075-8434,Processus Aléatoires à Deux Indices
0075-8434,Dynamical Systems—Warwick 1974
1054-3414,Polymer Reaction Engineering
0075-8434,Probability and Information Theory
1724-8035,Intelligenza Artificiale
1612-1783,Communication & Medicine
0975-4253,Environment and Urbanization ASIA
1687-6741,Research Letters in Communications
0075-8434,Berkovich Spaces and Applications
1548-8969,Journal of Experimental Zoology Part A: Comparative Experimental Biology
0302-9743,Rules in Database Systems
0097-6156,Solution Properties of Polysaccharides
0302-9743,"Verified Software: Theories, Tools, and Experiments"
1858-5051,Sudan Journal of Medical Sciences
2079-052X,Emirates Journal of Food and Agriculture
0302-9743,High Performance Computing for Computational Science -- VECPAR 2014
2051-8803,Journal of Professions and Organization
0302-9743,Transactions on Rough Sets XVIII
1860-949X,"Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing 2015"
1211-3174,Scientia Agriculturae Bohemica
0075-8450,Jets from Stars and Galactic Nuclei
0097-6156,Reactivity of Metal-Metal Bonds
0075-8434,Extensions of Positive Definite Functions
0075-8434,Algebraic Cycles and Hodge Theory
0302-9743,The Beauty of Functional Code
0097-6156,Service Life Prediction
0975-3710,International Journal of Agriculture Sciences
0097-6156,Chemistry’s Role in Food Production and Sustainability: Past and Present
1139-1723,Pedagogia Social. Revista Interuniversitaria
0937-7409,CHEMOECOLOGY
2150-1203,Mycology: An International Journal on Fungal Biology
1860-949X,"Cybercrime, Digital Forensics and Jurisdiction"
0303-4240,"Reviews of Physiology, Biochemistry and Pharmacology, Volume 89"
0075-8434,Mixed Motives and Algebraic K-Theory
0302-9743,Spatio-Temporal Databases
0075-8434,Asymptotic Analysis of Soliton Problems
0301-5556,The Development of the Rat Hypothalamus
0302-9743,Text Analysis Pipelines
0231-424X,Acta Physiologica Hungarica
0065-2598,Allergy and Respiration
1559-2316,Plant Signaling & Behavior
0724-6145,Space and Terrestrial Biotechnology
1751-8326,Economic & Labour Market Review
0212-9728,Anales de Psicología
2690-6015,Journal of First-generation Student Success
2525-2518,Journal of Science and Technology
0022-3042,Journal of Neurochemistry
0302-9743,CVRMed-MRCAS'97
0036-0244,Russian Journal of Physical Chemistry A
1936-0851,ACS Nano
1355-0284,Journal of NeuroVirology
1436-8730,Journal of Plant Nutrition and Soil Science
0038-7010,Spectroscopy Letters
1552-5260,Alzheimer's & Dementia
1090-1027,Journal of Early Childhood Teacher Education
0210-3702,Infancia y Aprendizaje
0047-2816,Journal of Technical Writing and Communication
1060-3271,Journal of AOAC INTERNATIONAL
1759-4812,Nature Reviews Urology
0022-2615,Journal of Medical Microbiology
0002-8614,Journal of the American Geriatrics Society
1082-720X,Annals of Noninvasive Electrocardiology
0042-8450,Military Medical and Pharmaceutical Journal of Serbia
1535-6760,Applied Biosafety
1063-4258,Atomic Energy
0972-0529,Journal of Discrete Mathematical Sciences and Cryptography
2158-0014,Brain Connectivity
1566-0621,Conservation Genetics
0199-9885,Annual Review of Nutrition
0910-9153,Nihon Bika Gakkai Kaishi (Japanese Journal of Rhinology)
1545-8490,Decision Analysis
0385-4213,IEEJ Transactions on Power and Energy
1582-7445,Advances in Electrical and Computer Engineering
1050-6586,American Journal of Rhinology
0895-4852,Academic Questions
1756-2872,Therapeutic Advances in Urology
1749-6799,Dental Nursing
1943-0663,IEEE Embedded Systems Letters
1536-1276,IEEE Transactions on Wireless Communications
0723-2977,Arbitrium
0424-2084,Studies in Church History
0030-6002,Orvosi Hetilap
1462-0316,The Journal of Horticultural Science and Biotechnology
1472-8923,International Journal of Energy Technology and Policy
1559-9612,International Journal of Optomechatronics
0040-5752,Der Z�chter Genetics and Breeding Research
0269-0942,Local Economy
1464-9357,Planning Theory & Practice
0251-1088,Environmentalist
1746-6962,International Journal of Inventory Research
1344-6193,Geosynthetics Engineering Journal
1358-2291,International Journal of Discrimination and the Law
1050-0472,Journal of Mechanical Design
0948-3055,Aquatic Microbial Ecology
0302-5144,Recent Advances in Dialysis Therapy in Japan
0003-9756,European Journal of Sociology
0959-3985,Physiotherapy Theory and Practice
1560-683X,SA Journal of Information Management
2394-9465,International Journal of Psychiatric Nursing
2041-1006,Molecular Oral Microbiology
0151-9107,Annales de Chimie - Science des Matériaux
0393-2516,RIVISTA DI STORIA DELLA FILOSOFIA
1548-6605,US-China Law Review
0968-7688,Molecular Membrane Biology
0889-3047,The Review of Austrian Economics
1477-9048,International Journal of Business Governance and Ethics
1643-1049,Physicochemical Problems of Mineral Processing
2040-1744,Journal of Developmental Origins of Health and Disease
1743-9671,Journal of the Energy Institute
2199-3823,Journal of Sustainable Metallurgy
1776-2596,Targeted Oncology
1343-4152,Mammal Study
1528-4336,HIV Clinical Trials
0971-8524,"Gender, Technology and Development"
1226-363X,Journal of Korean Society of Steel Construction
1474-6514,The British Journal of Diabetes & Vascular Disease
0895-2779,Journal of Sport and Exercise Psychology
0263-4929,Journal of Metamorphic Geology
1820-0214,Computer Science and Information Systems
1321-6597,The Journal of International Communication
1098-092X,Gender Issues
1470-2029,Journal of Visual Art Practice
1340-3540,Mycoscience
2194-7619,European Journal of Pediatric Surgery Reports
1756-8277,International Journal of Spray and Combustion Dynamics
1939-4608,Synthesis Lectures on Artificial Intelligence and Machine Learning
2189-6577,Journal of General and Family Medicine
0889-2229,AIDS Research and Human Retroviruses
1612-4758,Anzeiger füur Schäadlingskunde
1943-4472,Behavioral Sciences of Terrorism and Political Aggression
2635-5019,Audiology and Speech Research
0302-9743,Algorithm Theory - SWAT 2010
1865-0929,Advanced Machine Learning Technologies and Applications
2252-8806,International Journal of Public Health Science (IJPHS)
0084-2230,Hidden Hunger: Strategies to Improve Nutrition Quality
0075-8442,Advances in Optimization
0361-0926,Communications in Statistics: Theory and Methods
0176-4225,Quantitative Approaches to Linguistic Diversity
0742-3497,The Nonprofit Counsel
0303-4216,Dye Lasers
1865-0929,Advances on Digital Television and Wireless Multimedia Communications
1756-4921,Studies in South Asian Film & Media
0302-9743,CONPAR 86
0302-9743,Middleware 2012
0075-8434,Banach Spaces of Analytic Functions
1479-2206,Conversations in Religion and Theology
1759-6599,"Journal of Aggression, Conflict and Peace Research"
0097-6156,van't Hoff-Le Bel Centennial
0302-9743,"Description Logic, Theory Combination, and All That"
1865-0929,Control and Automation
1614-6832,Laser Physics Review
1307-7635,Turkish Journal of Dermatology
0097-6156,Environmental Geochemistry of Sulfide Oxidation
0075-8434,Théorie des Matroïdes
0075-8434,Equivariant Poincaré Duality on G-Manifolds
1672-7681,Cellular and Molecular Immunology
0454-1146,Journal of the Mineralogical Society of Japan
0303-4216,Holographic Recording Materials
0953-8186,International Journal Of Refugee Law
0075-8434,Regular Variation and Differential Equations
0302-9743,Formal Methods for Dynamical Systems
0165-4004,FLIN
0022-2844,Journal Of Molecular Evolution
1865-0929,Videogame Sciences and Arts
0097-6156,Upgrading Coal Liquids
0075-8434,Traces of Differential Forms and Hochschild Homology
0923-7534,Annals Of Oncology
2072-1439,Journal of Thoracic Diseases
2168-0485,ACS Sustainable Chemistry & Engineering
0218-8635,Journal of Nonlinear Optical Physics & Materials
0002-9602,American Journal of Sociology
0953-8984,Journal of Physics: Condensed Matter
1539-1604,Pharmaceutical Statistics
0042-9007,Vox Sanguinis
0963-8288,Disability and Rehabilitation
0734-0451,Seminars in Hearing
0899-8418,International Journal of Climatology
1341-0725,Sangyo Eiseigaku Zasshi
0364-2348,Skeletal Radiology
1823-4208,Journal of Design and Built Environment
1049-3255,The Department Chair
0080-0015,Recent Results in Cancer Research
0340-2061,Anatomy and Embryology
1687-7357,Advances in High Energy Physics
1206-212X,International Journal of Computers and Applications
0046-2772,European Journal of Social Psychology
0012-2017,dialectica
1519-8464,Pensar - Revista de Ciências Jurídicas
1049-331X,ACM Transactions on Software Engineering and Methodology
1022-6877,European Addiction Research
0161-8202,Journal of Arachnology
1932-5037,American Journal of Health Education
0004-8674,Australian and New Zealand Journal of Psychiatry
1466-5026,INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY
1001-8042,Nuclear Science and Techniques
0301-634X,Radiation and Environmental Biophysics
0098-3063,IEEE Transactions on Consumer Electronics
0020-2967,Transactions of the IMF
0739-4462,Archives of Insect Biochemistry and Physiology
1756-073X,Practical Theology
0015-2684,Fire Technology
1871-5621,Morphology
0003-3804,Annalen der Physik
0968-8080,Reproductive Health Matters
0736-6981,EDPACS
1049-6491,Journal of Promotion Management
0036-7281,Schweiz Arch Tierheilkd
1871-7993,IMAGES
2415-6698,"Advances in Science, Technology and Engineering Systems Journal"
0065-2598,The Cerebral Microvasculature
0742-6348,Northern Journal of Applied Forestry
1931-3152,International Multilingual Research Journal
0956-618X,Ecclesiastical Law Journal
1073-9688,Microcirculation
1438-4957,Journal of Material Cycles and Waste Management
1341-1098,Annals of Thoracic and Cardiovascular Surgery
0302-9743,Learning and Intelligent Optimization
0025-6544,Mechanics of Solids
0954-8963,Cultural Trends
0001-5342,Acta Biotheoretica
0905-7188,Scandinavian Journal of Medicine & Science in Sports
0066-2399,L'Année sociologique
1687-9384,International Journal of Optics
0269-1728,Social Epistemology
2163-0429,Open Journal of Forestry
1061-0405,Journal of Russian & East European Psychology
1740-3553,Journal of Anglican Studies
1752-8224,International Journal of Accounting and Finance
2237-9363,Journal of Coloproctology
1321-0122,International Journal of Transpersonal Studies
0219-4678,International Journal of Image and Graphics
0950-0804,Journal of Economic Surveys
1070-4965,The Journal of Environment & Development
1940-1493,Journal of Building Performance Simulation
0559-8516,SHINKU
1935-5726,International Journal of Information Systems and Supply Chain Management
0019-0993,Iberoromania
1558-6898,Journal of Mixed Methods Research
0075-8434,In Memoriam Marc Yor - Séminaire de Probabilités XLVII
1834-0806,INTERNATIONAL JOURNAL OF MULTIPLE RESEARCH APPROACHES
1757-9961,"Law, Innovation and Technology"
0073-4705,"Iheringia, Série Botânica"
1098-3015,Value in Health
2331-656X,Stratigraphy
2197-8646,International Journal for Research in Vocational Education and Training
0250-4758,Indian Journal of Veterinary Pathology
1368-2679,International Journal of Francophone Studies
2077-1517,GW-Unterricht
0097-6156,Advances in Human Vector Control
1863-8880,Laser & Photonics Review
2175-4977,Animus Revista Interamericana de Comunicação Midiática
2355-5777,Jurnal Kawistara
0121-3814,"Tecné, Episteme y Didaxis: TED"
0120-8942,Díkaion
1040-8738,Current Opinion in Ophthalmology
2050-0688,Journal of Antitrust Enforcement
1865-0929,Eternal Systems
1865-0929,Agents and Artificial Intelligence
1226-9123,Korean Linguistics
0302-5144,Research Animals and Experimental Design in Nephrology
1865-0929,Mobile Ad-hoc and Sensor Networks
1064-7546,Journal of environmental polymer degradation
1860-949X,Interpretable Artificial Intelligence: A Perspective of Granular Computing
1743-3517,"Data Mining VIII: Data, Text and Web Mining and their Business Applications"
0302-9743,Parcella '88
0927-3042,HIV/AIDS-Associated Viral Oncogenesis
0097-6156,Photophysics of Polymers
0097-6156,Size Exclusion Chromatography
0065-2598,Recent Advances in Prolactin Research
0142-5471,Information Visualization
0097-6156,Innovative Uses of Agricultural Products and Byproducts
0097-6156,Intrazeolite Chemistry
2196-6923,ERIS - European Review of International Studies
0065-2598,DJ-1/PARK7 Protein
0340-5222,Anglia
0927-3042,Lung Cancer
1195-1036,GEOMATICA
1543-1894,Tissue Engineering
0075-8434,Topological Complexity of Smooth Random Functions
1865-0929,Computational Intelligence in Communications and Business Analytics
1326-7612,Provincial China
0075-8434,Mathematical Modeling and Validation in Physiology
0065-2598,Advances in Respiratory Cancerogenesis
0097-6156,Chemistry and the Environment: Pedagogical Models and Practices
0302-9743,Self-Stabilizing Systems
0097-6156,Removal of Trace Contaminants from the Air
1543-1894,Methods In Molecular Medicine™
0066-5452,Level Set Methods and Dynamic Implicit Surfaces
0302-9743,Computer-Aided Cooperative Product Development
0071-9676,The Pharmaceutical Aspects of Cancer Care
0193-7235,Journal of Sport & Social Issues
1300-0659,Türk Oftalmoloji Dergisi
0075-8434,Differential Calculus in Locally Convex Spaces
0075-8434,Marches Aléatoires sur les Groupes de Lie
0142-5242,Grass & Forage Science
0048-7619,Revista Argentina de Radilogía
0068-0346,"History of Artificial Cold, Scientific, Technological and Cultural Issues"
0142-5463,International Journal of Cosmetic Science
1044-5498,DNA and Cell Biology
0002-9173,American Journal of Clinical Pathology
1435-2443,Langenbecks Archiv für Klinische Chirurgie
0262-8104,Waterlines
0020-7047,International Journal for Philosophy of Religion
0030-770X,Oxidation of Metals
0932-0113,Parasitology Research
0361-0365,Research in Higher Education
1941-4900,Nanoscience and Nanotechnology Letters
0016-8025,Geophysical Prospecting
1364-9809,Edinburgh Law Review
1462-2416,Pharmacogenomics
0162-6620,Action in Teacher Education
1354-523X,Oral Diseases
1029-8436,International Journal of Pavement Engineering
0451-2375,Kakuyūgō kenkyū
2045-7960,Epidemiology and Psychiatric Sciences
0929-1016,Biological Rhythm Research
1740-0600,International Journal of Public Policy
1945-7669,American Economic Journal: Microeconomics
0735-7907,Cancer Investigation
2162-2671,"Territory, Politics, Governance"
1995-4212,Polymer Science Series D
1098-2140,American Journal of Evaluation
2334-0460,Global Affairs
0003-5599,Anti-Corrosion Methods and Materials
1934-3671,Current Protocols in Immunology
2332-4252,Operative Neurosurgery
1471-0684,Theory and Practice of Logic Programming
0233-7657,Biopolymers and Cell
0736-5829,Adapted Physical Activity Quarterly
1467-5463,Briefings in Bioinformatics
0967-6120,Aquaculture International
0022-0116,Journal of Contemporary Psychotherapy
0003-813X,Archaeometry
2229-838X,International Journal of Integrated Engineering
2061-1617,Interventional Medicine and Applied Science
2190-5452,Journal of Civil Structural Health Monitoring
0129-167X,International Journal of Mathematics
0036-0244,Russian Journal of Physical Chemistry
1756-1485,Interventional Cardiology Review
2008-3556,International Journal of Advanced Structural Engineering
0003-603X,The Antitrust Bulletin
1479-2362,Chinese Journal of Agricultural Biotechnology
1059-4329,Journal of Supreme Court History
0031-918X,The Physics of Metals and Metallography
0258-9346,Politikon
1353-1425,Modern Believing
1744-9855,Journal of Postcolonial Writing
2214-1324,Journal of Jesuit Studies
1522-6514,International Journal of Phytoremediation
1753-2507,International Journal of Nanoparticles
1747-6585,Water and Environment Journal
1840-3719,Epiphany
0002-919X,The American Journal of Comparative Law
2376-7642,"ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part A: Civil Engineering"
2235-042X,Journal of Comorbidity
1826-1868,Heart International
1560-8530,International Journal of Agriculture and Biology
1648-6897,JOURNAL OF ENVIRONMENTAL ENGINEERING AND LANDSCAPE MANAGEMENT
1543-1894,Vascular Biology Protocols
0035-8843,Annals of The Royal College of Surgeons of England
0302-9743,Principles of Distributed Systems
1878-6553,Climate Law
1097-8526,Latin American Business Review
1874-785X,Vocations and Learning
0302-9743,Advances in Database Technology - EDBT 2006
0363-6445,Systematic Botany
1750-0664,International Journal of Electronic Customer Relationship Management
0972-3757,INTERNATIONAL JOURNAL OF HUMAN GENETICS
0926-7182,Denkbeeld
1545-6870,Atlantic Journal of Communication
1869-215X,Aquaculture Environment Interactions
0300-2896,Archivos de Bronconeumología
0276-2366,"Imagination, Cognition and Personality"
1745-7289,"Journal of Elections, Public Opinion & Parties"
1865-0929,Advanced Computing
0739-5175,IEEE Engineering in Medicine and Biology Magazine
0302-9743,Advances in Artificial Intelligence and Soft Computing
0971-6858,Journal of Human Values
1735-1855,Quarterly of the Horizon of Medical Sciences
0198-7569,The International Journal of Periodontics and Restorative Dentistry
1907-8374,Jurnal Studi Pemerintahan
0065-2598,Atlas of Inherited Retinal Diseases
0075-8434,"Computing Methods in Applied Sciences and Engineering, 1977, I"
1206-5269,Philosophy in Review
0065-2598,Non-coding RNAs in Complex Diseases
1582-9146,www.amfiteatrueconomic.ro
0120-0690,Revista Colombiana de Ciencias Pecuarias
0302-9743,Human-Computer Interaction. Users and Applications
0302-9743,Mathematical Foundations of Computer Science 1989
0302-9743,Recent Advances in Reinforcement Learning
0097-6156,Aroma Active Compounds in Foods
2027-7458,Analecta Política
0302-9743,MICAI 2006: Advances in Artificial Intelligence
1865-0929,Highlights of Practical Applications of Survivable Agents and Multi-Agent Systems. The PAAMS Collection
0949-944X,Wilhelm Roux Archiv für Entwicklungsmechanik der Organismen
0301-3073,Vitamin D in Clinical Medicine
1166-7699,Agriculture
0939-2661,ains · Anästhesiologie · Intensivmedizin
1865-0929,Parallel Computational Technologies
0302-9743,"Information Access Evaluation. Multilinguality, Multimodality, and Visualization"
0068-0346,The Philosophy of Historical Case Studies
0097-6156,Photopolymerization
0070-8356,"Wetlands: Ecosystem Services, Restoration and Wise Use"
0302-9743,"Agents in Principle, Agents in Practice"
2167-4779,Teaching & Learning Inquiry: The ISSOTL Journal
1980-6442,Oecologia brasiliensis
0075-8434,Integrable Systems and Quantum Groups
0302-9743,"Deep Structure, Singularities, and Computer Vision"
1865-0929,Trusted Computing and Information Security
1865-0929,Software Engineering and Methodology for Emerging Domains
1050-7256,Thyroid
0097-6156,Food Flavor and Safety
1874-8767,Intersections of Intersubjectivity
1865-0929,Human-Computer Interaction
2191-0375,Journal for Manufacturing Science & Production
0075-8434,Algebraic Geometry and Complex Analysis
0075-8434,Propriétés Spectrales des Algèbres de Banach
0075-8434,Conformal Symmetry Breaking Operators for Differential Forms on Spheres
0075-8434,Topics in Mathematical Fluid Mechanics
0302-9743,Operating Systems
0141-5492,Biotechnology Letters TEST
1573-4021,Current Hypertension Reviews
2395-7492,"International Research Journal of Management, IT & Social Sciences"
1073-7928,International Mathematics Research Notices
1561-8625,Asian Journal of Control
0887-5367,Hypatia
0143-6597,Third World Quarterly
0924-090X,Nonlinear Dynamics
0268-3962,Journal of Information Technology
0920-1297,Focaal
0300-9734,Upsala Journal of Medical Sciences
1754-3916,International Journal of Communication Networks and Distributed Systems
0272-4316,The Journal of Early Adolescence
1252-607X,Parasite
0920-427X,Argumentation
0301-7257,The Byron Journal
0037-9808,Journal of the Society of Architectural Historians
0027-7630,Nagoya Mathematical Journal
1054-4887,Applied Computational Electromagnetics Society
2363-6203,Modeling Earth Systems and Environment
1382-2373,New West Indian Guide / Nieuwe West-Indische Gids
1475-4266,Cancer Nursing Practice
0007-1005,British Journal of Educational Studies
1356-2517,Teaching in Higher Education
1536-5050,Journal of the Medical Library Association : JMLA
1550-7629,Nuclear Receptor Signaling
0388-788X,Fish Pathology
0736-0932,Forum for Social Economics
1865-0929,Information Processing and Management of Uncertainty in Knowledge-Based Systems. Theory and Foundations
1347-4456,Annals of Business Administrative Science
0302-9743,Medical Image Computing and Computer Assisted Intervention – MICCAI 2019
0966-0844,BioMetals
1040-841X,Critical Reviews in Microbiology
0799-0537,Small Axe: A Caribbean Journal of Criticism
0933-811X,Endoskopie heute
1529-1006,Psychological Science in the Public Interest
0141-9889,Sociology of Health & Illness
0926-6364,Random Operators and Stochastic Equations
0352-9568,Chemical and Biochemical Engineering Quarterly
1072-0162,Sexual Addiction & Compulsivity
1465-4520,International Journal of Nonprofit and Voluntary Sector Marketing
0912-0009,Journal of Clinical Biochemistry and Nutrition
1757-3971,International Journal of Renewable Energy Technology
1542-7560,Journal of Behavioral Finance
1754-1476,Contemporary Women's Writing
1754-1476,Contemporary Women's Writing
1059-8596,The Journal of Fixed Income
1945-3116,Journal of Software Engineering and Applications
1745-4832,International Journal of Art Therapy
0264-2875,Dance Research
0042-8779,"OOO ""Zhurnal ""Voprosy Istorii"""
0254-7821,April 2019
0951-7367,Current Opinion in Psychiatry
0302-9743,Human-Computer Interaction – INTERACT 2007
1018-8916,Natural Immunity
0043-2539,Welt des Islams
1517-8242,Revista da Faculdade de Ciências Médicas de Sorocaba
0343-2521,Geojournal
1345-6296,Journal of Mineralogical and Petrological Sciences
1388-199X,Journal of the History of International Law / Revue d’histoire du droit international
2050-3032,Critical Research on Religion
2074-9074,"International Journal of Image, Graphics and Signal Processing"
1938-7741,Journal of Transportation Security
0075-8434,Equivariant Pontrjagin Classes and Applications to Orbit Spaces
0302-9743,Web Information Systems Engineering – WISE 2015
2032-3913,Plant Ecology and Evolution
0302-9743,Information and Operational Technology Security Systems
2161-0916,Modern Physics
0262-821X,Journal of Micropalaeontology
0075-8434,Séminaire de Probabilités XIV 1978/79
1741-3842,Journal Of Public Health
0955-792X,Journal Of Logic And Computation
2278-3318,Chemical Science Transactions
0075-8434,Total Colourings of Graphs
0065-2598,Protein Allostery in Drug Discovery
0075-8434,Ideal Spaces
2192-4376,EURO Journal on Transportation and Logistics
0250-5460,Revista Boliviana de Química
2148-4155,Uludağ University Journal of The Faculty of Engineering
0097-6156,Mineral-Water Interfacial Reactions
0065-2598,Advancements of Mass Spectrometry in Biomedical Research
0097-6156,Specialty Monomers and Polymers
0097-6156,Advances in Pesticide Formulation Technology
0097-6156,Using Computational Methods To Teach Chemical Principles
0065-2598,T Regulatory Cells in Human Health and Diseases
0097-6156,Investigating Classroom Myths through Research on Teaching and Learning
1478-1387,Journal Of International Criminal Justice
0097-6156,Small Wonders: Peptides for Disease Control
0142-4319,Journal of Muscle Research & Cell Motility
0302-9743,Machine Learning for Dynamic Software Analysis: Potentials and Limits
0067-0057,Solar Particle Radiation Storms Forecasting and Analysis
0075-8434,"Dynamical Systems and Turbulence, Warwick 1980"
1865-0929,"Dependability in Sensor, Cloud, and Big Data Systems and Applications"
0065-2598,Telocytes
0097-6156,A Festival of Chemistry Entertainments
0019-0829,Learning and Teaching L2 Writing
2051-848X,International Journal of Business & Economic Development
0065-2598,RNA Processing
0021-9096,Journal of Asian and African Studies
0075-8434,Univalent Functions-Selected Topics
0340-3696,Archiv für Dermatologische Forschung
0256-7040,Childs Nervous System
1387-6732,Typology of writing systems
1979-925X,Telematika
0071-4739,Fieldiana Anthropology
1812-5379,Journal of Agronomy
1877-2641,Waste and Biomass Valorization
0938-2259,Economic Theory
1687-6105,Dermatology Research and Practice
0045-6713,Children's Literature in Education
1040-7294,Journal of Dynamics and Differential Equations
0022-0493,Journal of Economic Entomology
0363-9045,Drug Development and Industrial Pharmacy
0954-3899,Journal of Physics G: Nuclear and Particle Physics
0276-7333,Organometallics
0047-2433,Journal of Environmental Systems
1557-2625,The Journal of the American Board of Family Medicine
1353-4505,International Journal for Quality in Health Care
1173-2563,Clinical Drug Investigation
1366-4530,Teacher Development
1016-6262,Verhaltenstherapie
0955-3002,International Journal of Radiation Biology
1462-9712,The Court Historian
0075-8434,Complex Analysis Joensuu 1987
1420-3030,Audiology and Neurotology
0026-9247,Monatshefte für Chemie
0020-2754,Transactions of the Institute of British Geographers
1016-8664,Structural Engineering International
0028-3940,Neuroradiology
2005-3673,Journal of Korean Academy of Nursing
0960-3409,Materials at High Temperatures
0034-3536,Die Rehabilitation
2191-1363,ChemistryOpen
0010-0870,College & Research Libraries
0007-4861,Bulletin of Environmental Contamination and Toxicology
1343-9006,Asia-Pacific Review
1558-9250,Journal of Engineered Fibers and Fabrics
0430-8778,Folk Life
1539-6851,Lymphatic Research and Biology
0022-5010,Journal of the History of Biology
0004-4172,Arzneimittelforschung
1381-1991,Molecular Diversity
1747-079X,Congenital Heart Disease
0006-3452,Biometrische Zeitschrift
1347-7986,Journal of Japan Society for Fuzzy Theory and Intelligent Informatics
1615-5289,Universal Access in the Information Society
1279-7707,"The journal of nutrition, health & aging"
0267-8373,Work & Stress
1473-7140,Expert Review of Anticancer Therapy
0976-1276,FOOD SCIENCE RESEARCH JOURNAL
1368-4302,Group Processes & Intergroup Relations
2085-4323,Jurnal Bina Praja
0167-1685,TandartsPraktijk
2468-2322,CAAI Transactions on Intelligence Technology
0949-944X,Wilhelm Roux' Archiv für Entwicklungsmechanik der Organismen
1465-6620,International Journal of Water
1554-7191,The International Entrepreneurship and Management Journal
0852-6834,Berkala Penelitian Hayati
1043-6596,Journal of Transcultural Nursing
1748-0671,International Journal of System of Systems Engineering
1468-1366,"Pedagogy, Culture & Society"
1476-8186,International Journal of Automation and Computing
0309-0566,European Journal of Marketing
0070-1998,Current Legal Problems
0302-9743,Human Interface and the Management of Information. Information and Knowledge in Applications and Services
0939-6314,Vegetation History and Archaeobotany
1943-9962,Journal of Transportation Safety & Security
0024-2667,Libri
0976-3988,International Journal of Bio-resource and Stress Management
1073-6700,The Nonproliferation Review
0003-004X,American Mineralogist
0435-4052,"Geological Society, London, Memoirs"
0034-6861,Reviews of Modern Physics
1555-4589,Journal of Cases in Educational Leadership
0165-0653,International Journal for the Advancement of Counselling
0971-4693,Allelopathy Journal
1103-8128,Scandinavian Journal of Occupational Therapy
1947-9093,International Journal of Synthetic Emotions
0964-5292,Education Economics
2322-1488,Nursing and Midwifery Studies
1710-5668,Complicity: An International Journal of Complexity and Education
1756-2104,International Journal of Functional Informatics and Personalised Medicine
