Journal Title,ISSN,Reason,Journal Title Normalized,URL,Data Source,added,Remove_Date,Add_Date,reason_category
European Journal of Law and Political Sciences,Unknown,A,european journal of law and political sciences,https://ew-a.org/journals/405/,Gray OA,,,,interesting reason
European Journal of Literature and Linguistics,Unknown,A,european journal of literature and linguistics,https://ew-a.org/journals/401/,Gray OA,,,,interesting reason
European Journal of Technical and Natural Sciences,Unknown,A,european journal of technical and natural sciences,https://ew-a.org/journals/770/issue/,Gray OA,,,,interesting reason
European Science Review,Unknown,A,european science review,https://ew-a.org/journals/337/,Gray OA,,,,interesting reason
ABC Research Alert,Unknown,A,abc research alert,http://abcreal.weebly.com/,Gray OA,,,,interesting reason
American Based Research Journal (ABRJ),Unknown,A,american based research journal (abrj),,Gray OA,,,,interesting reason
Journal of Agricultural Economics and Development,Unknown,A,journal of agricultural economics and development,,Gray OA,,,,interesting reason
International Journal of Geographic Information System,Unknown,A,international journal of geographic information system,,Gray OA,,,,interesting reason
African Journal of Bacteriology Research,Unknown,A,african journal of bacteriology research,,Gray OA,,,,interesting reason
African Journal of Environmental Science and Technology,Unknown,A,african journal of environmental science and technology,,Gray OA,,,,interesting reason
African Journal of Food Science,Unknown,A,african journal of food science,,Gray OA,,,,interesting reason
African Journal of History and Culture,Unknown,A,african journal of history and culture,,Gray OA,,,,interesting reason
African Journal of Marketing Management,Unknown,A,african journal of marketing management,,Gray OA,,,,interesting reason
African Journal of Microbiology Research,Unknown,A,african journal of microbiology research,,Gray OA,,,,interesting reason
African Journal of Plant Science,Unknown,A,african journal of plant science,,Gray OA,,,,interesting reason
African Journal of Political Science and International Relations,Unknown,A,african journal of political science and international relations,,Gray OA,,,,interesting reason
Educational Research and Reviews,Unknown,A,educational research and reviews,,Gray OA,,,,interesting reason
International Journal of Biodiversity and Conservation,Unknown,A,international journal of biodiversity and conservation,,Gray OA,,,,interesting reason
International Journal of Educational Administration and Policy Studies,Unknown,A,international journal of educational administration and policy studies,,Gray OA,,,,interesting reason
International Journal of English and Literature,Unknown,A,international journal of english and literature,,Gray OA,,,,interesting reason
International Journal of Fisheries and Aquaculture,Unknown,A,international journal of fisheries and aquaculture,,Gray OA,,,,interesting reason
International Journal of Genetics and Molecular Biology,Unknown,A,international journal of genetics and molecular biology,,Gray OA,,,,interesting reason
International Journal of Library and Information Science,Unknown,A,international journal of library and information science,,Gray OA,,,,interesting reason
International Journal of Livestock Production,Unknown,A,international journal of livestock production,,Gray OA,,,,interesting reason
International Journal of Nutrition and Metabolism,Unknown,A,international journal of nutrition and metabolism,,Gray OA,,,,interesting reason
International Journal of Peace and Development Studies,Unknown,A,international journal of peace and development studies,,Gray OA,,,,interesting reason
International Journal of Plant Physiology and Biochemistry,Unknown,A,international journal of plant physiology and biochemistry,,Gray OA,,,,interesting reason
International Journal of Psychology and Counselling,Unknown,A,international journal of psychology and counselling,,Gray OA,,,,interesting reason
International Journal of Sociology and Anthropology,Unknown,A,international journal of sociology and anthropology,,Gray OA,,,,interesting reason
International Journal of Vocational and Technical Education,Unknown,A,international journal of vocational and technical education,,Gray OA,,,,interesting reason
International Journal of Water Resources and Environmental Engineering,Unknown,A,international journal of water resources and environmental engineering,,Gray OA,,,,interesting reason
Journal of Accounting and Taxation,Unknown,A,journal of accounting and taxation,,Gray OA,,,,interesting reason
Journal of African Studies and Development,Unknown,A,journal of african studies and development,,Gray OA,,,,interesting reason
Journal of Agricultural Biotechnology and Sustainable Development,Unknown,A,journal of agricultural biotechnology and sustainable development,,Gray OA,,,,interesting reason
Journal of Agricultural Extension and Rural Development,Unknown,A,journal of agricultural extension and rural development,,Gray OA,,,,interesting reason
Journal of AIDS and HIV Research,Unknown,A,journal of aids and hiv research,,Gray OA,,,,interesting reason
Journal of Cereals and Oilseeds,Unknown,A,journal of cereals and oilseeds,,Gray OA,,,,interesting reason
Journal of Chemical Engineering and Materials Science,Unknown,A,journal of chemical engineering and materials science,,Gray OA,,,,interesting reason
Journal of Civil Engineering and Construction Technology,Unknown,A,journal of civil engineering and construction technology,,Gray OA,,,,interesting reason
Journal of Development and Agricultural Economics,Unknown,A,journal of development and agricultural economics,,Gray OA,,,,interesting reason
Journal of Ecology and The Natural Environment,Unknown,A,journal of ecology and the natural environment,,Gray OA,,,,interesting reason
Journal of Economics and International Finance,Unknown,A,journal of economics and international finance,,Gray OA,,,,interesting reason
Journal of Entomology and Nematology,Unknown,A,journal of entomology and nematology,,Gray OA,,,,interesting reason
Journal of Geography and Regional Planning,Unknown,A,journal of geography and regional planning,,Gray OA,,,,interesting reason
Journal of Horticulture and Forestry,Unknown,A,journal of horticulture and forestry,,Gray OA,,,,interesting reason
Journal of Hospitality Management and Tourism,Unknown,A,journal of hospitality management and tourism,,Gray OA,,,,interesting reason
Journal of Languages and Culture,Unknown,A,journal of languages and culture,,Gray OA,,,,interesting reason
Journal of Media and Communication Studies,Unknown,A,journal of media and communication studies,,Gray OA,,,,interesting reason
Journal of Medical Laboratory and Diagnosis,Unknown,A,journal of medical laboratory and diagnosis,,Gray OA,,,,interesting reason
Journal of Medicinal Plants Research,Unknown,A,journal of medicinal plants research,,Gray OA,,,,interesting reason
Journal of Parasitology and Vector Biology,Unknown,A,journal of parasitology and vector biology,,Gray OA,,,,interesting reason
Journal of Petroleum and Gas Engineering,Unknown,A,journal of petroleum and gas engineering,,Gray OA,,,,interesting reason
Journal of Pharmacognosy and Phytotherapy,Unknown,A,journal of pharmacognosy and phytotherapy,,Gray OA,,,,interesting reason
Journal of Physical Education and Sport Management,Unknown,A,journal of physical education and sport management,,Gray OA,,,,interesting reason
Journal of Plant Breeding and Crop Science,Unknown,A,journal of plant breeding and crop science,,Gray OA,,,,interesting reason
Journal of Public Health and Epidemiology,Unknown,A,journal of public health and epidemiology,,Gray OA,,,,interesting reason
Journal of Soil Science and Environmental Management,Unknown,A,journal of soil science and environmental management,,Gray OA,,,,interesting reason
Journal of Stored Products and Postharvest Research,Unknown,A,journal of stored products and postharvest research,,Gray OA,,,,interesting reason
Journal of Toxicology and Environmental Health Sciences,Unknown,A,journal of toxicology and environmental health sciences,,Gray OA,,,,interesting reason
Journal of Veterinary Medicine and Animal Health,Unknown,A,journal of veterinary medicine and animal health,,Gray OA,,,,interesting reason
International Journal of Applied Mathematics.,Unknown,A,international journal of applied mathematics.,,Gray OA,,,,interesting reason
Academic Research Journal of Agricultural Science and Research  ( ISSN: 2360-7874 ),Unknown,A,academic research journal of agricultural science and research  ( issn: 2360-7874 ),,Gray OA,,,,interesting reason
International Journal of Academic Library and Information Science  ( ISSN: 2360-7858 ),Unknown,A,international journal of academic library and information science  ( issn: 2360-7858 ),,Gray OA,,,,interesting reason
International Journal of Academic Research in Education and Review  ( ISSN: 2360-7866),Unknown,A,international journal of academic research in education and review  ( issn: 2360-7866),,Gray OA,,,,interesting reason
International Journal of Economic and Business Management (ISSN: 2384-6151),Unknown,A,international journal of economic and business management (issn: 2384-6151),,Gray OA,,,,interesting reason
International Journal of Political Science and Development  ( ISSN: 2360-784X ),Unknown,A,international journal of political science and development  ( issn: 2360-784x ),,Gray OA,,,,interesting reason
International Journal  of English Literature and Culture  ( ISSN: 2360-7831 ),Unknown,A,international journal  of english literature and culture  ( issn: 2360-7831 ),,Gray OA,,,,interesting reason
"Business, Management and Economics Research",Unknown,A,"business, management and economics research",http://arpgweb.com/index.php?ic=journal&journal=8&info=archive,Gray OA,,,,interesting reason
English Literature and Language Review,Unknown,A,english literature and language review,http://arpgweb.com/index.php?ic=journal&journal=9&info=aims,Gray OA,,,,interesting reason
International Journal of Economics and Financial Research,Unknown,A,international journal of economics and financial research,http://arpgweb.com/index.php?ic=journal&journal=5&info=aims,Gray OA,,,,interesting reason
International Journal of Healthcare and Medical Sciences,Unknown,A,international journal of healthcare and medical sciences,http://arpgweb.com/index.php?ic=journal&journal=13&info=aims,Gray OA,,,,interesting reason
Journal of Agriculture and Crops,Unknown,A,journal of agriculture and crops,http://arpgweb.com/index.php?ic=journal&journal=14&info=aims,Gray OA,,,,interesting reason
Academic Journal of Applied Mathematical Sciences,Unknown,A,academic journal of applied mathematical sciences,http://arpgweb.com/index.php?ic=journal&journal=17&info=aims,Gray OA,,,,interesting reason
Academic Journal of Chemistry,Unknown,A,academic journal of chemistry,http://arpgweb.com/index.php?ic=journal&journal=20&info=archive,Gray OA,,,,interesting reason
Academic Journal of Life Sciences,Unknown,A,academic journal of life sciences,http://arpgweb.com/index.php?ic=journal&journal=18&info=aims,Gray OA,,,,interesting reason
Research Journal of Education,Unknown,A,research journal of education,http://arpgweb.com/index.php?ic=journal&journal=15&info=archive,Gray OA,,,,interesting reason
Scientific Review,Unknown,A,scientific review,http://arpgweb.com/index.php?ic=journal&journal=10&info=aims,Gray OA,,,,interesting reason
The Journal of Social Sciences Research,Unknown,A,the journal of social sciences research,http://arpgweb.com/index.php?ic=journal&journal=7&info=aims,Gray OA,,,,interesting reason
International Journal of Applied Pharmaceutics,Unknown,A,international journal of applied pharmaceutics,http://www.ijaponline.org/,Gray OA,,,,interesting reason
ARC Journal of Addiction,Unknown,A,arc journal of addiction,,Gray OA,,,,interesting reason
ARC Journal of Animal and Veterinary Sciences,Unknown,A,arc journal of animal and veterinary sciences,,Gray OA,,,,interesting reason
ARC Journal of Clinical Case Reports,Unknown,A,arc journal of clinical case reports,,Gray OA,,,,interesting reason
ARC Journal of Dental Science,Unknown,A,arc journal of dental science,,Gray OA,,,,interesting reason
ARC Journal of Neuroscience,Unknown,A,arc journal of neuroscience,,Gray OA,,,,interesting reason
ARC Journal of Nursing and Healthcare,Unknown,A,arc journal of nursing and healthcare,,Gray OA,,,,interesting reason
ARC Journal of Pharmaceutical Sciences (AJPS),Unknown,A,arc journal of pharmaceutical sciences (ajps),,Gray OA,,,,interesting reason
ARC Journal of Public Health and Community Medicine,Unknown,A,arc journal of public health and community medicine,,Gray OA,,,,interesting reason
International Journal of Advanced Research in Botany (IJARB),Unknown,A,international journal of advanced research in botany (ijarb),,Gray OA,,,,interesting reason
International Journal of Advanced Research in Chemical Science (IJARCS),Unknown,A,international journal of advanced research in chemical science (ijarcs),,Gray OA,,,,interesting reason
International Journal of Advanced Research in Physical Science (IJARPS),Unknown,A,international journal of advanced research in physical science (ijarps),,Gray OA,,,,interesting reason
International Journal of Forestry and Horticulture (IJFH),Unknown,A,international journal of forestry and horticulture (ijfh),,Gray OA,,,,interesting reason
International Journal of History and Cultural Studies (IJHCS),Unknown,A,international journal of history and cultural studies (ijhcs),,Gray OA,,,,interesting reason
"International Journal of Humanities, Social Sciences and Education (IJHSSE)",Unknown,A,"international journal of humanities, social sciences and education (ijhsse)",,Gray OA,,,,interesting reason
International Journal of Managerial Studies and Research (IJMSR),Unknown,A,international journal of managerial studies and research (ijmsr),,Gray OA,,,,interesting reason
"International Journal of Media, Journalism and Mass Communications (IJMJMC)",Unknown,A,"international journal of media, journalism and mass communications (ijmjmc)",,Gray OA,,,,interesting reason
International Journal of Modern Studies in Mechanical Engineering (IJMSME),Unknown,A,international journal of modern studies in mechanical engineering (ijmsme),,Gray OA,,,,interesting reason
International Journal of Petroleum and Petrochemical Engineering (IJPPE),Unknown,A,international journal of petroleum and petrochemical engineering (ijppe),,Gray OA,,,,interesting reason
International Journal of Political Science (IJPS),Unknown,A,international journal of political science (ijps),,Gray OA,,,,interesting reason
International Journal of Research in Environmental Science (IJRES),Unknown,A,international journal of research in environmental science (ijres),,Gray OA,,,,interesting reason
International Journal of Research in Geography (IJRG),Unknown,A,international journal of research in geography (ijrg),,Gray OA,,,,interesting reason
International Journal of Research in Tourism and Hospitality (IJRTH),Unknown,A,international journal of research in tourism and hospitality (ijrth),,Gray OA,,,,interesting reason
International Journal of Research Studies in Agricultural Sciences (IJRSAS),Unknown,A,international journal of research studies in agricultural sciences (ijrsas),,Gray OA,,,,interesting reason
International Journal of Research Studies in Biosciences (IJRSB),Unknown,A,international journal of research studies in biosciences (ijrsb),,Gray OA,,,,interesting reason
International Journal of Research Studies in Microbiology and Biotechnology (IJRSMB),Unknown,A,international journal of research studies in microbiology and biotechnology (ijrsmb),,Gray OA,,,,interesting reason
International Journal of Research Studies in Zoology (IJRSZ),Unknown,A,international journal of research studies in zoology (ijrsz),,Gray OA,,,,interesting reason
International Journal of Scientific and Innovative Mathematical Research (IJSIMR),Unknown,A,international journal of scientific and innovative mathematical research (ijsimr),,Gray OA,,,,interesting reason
International Journal of Sports and Physical Education (IJSPE),Unknown,A,international journal of sports and physical education (ijspe),,Gray OA,,,,interesting reason
International Journal on Studies in English Language and Literature (IJSELL),Unknown,A,international journal on studies in english language and literature (ijsell),,Gray OA,,,,interesting reason
Research Journal of Chemical and Environmental Sciences,Unknown,A,research journal of chemical and environmental sciences,http://www.aelsindia.com/rjces.htm,Gray OA,,,,interesting reason
Entrepreneurship and Innovation Management Journal,Unknown,A,entrepreneurship and innovation management journal,Entrep. innov. manag. j.,Gray OA,,,,interesting reason
Euro-Asian Journal of Economics and Finance,Unknown,A,euro-asian journal of economics and finance,Euro-Asian j. econ. financ.,Gray OA,,,,interesting reason
International Journal of Operations and Logistics Management,Unknown,A,international journal of operations and logistics management,Int. j. oper. logist. manag.,Gray OA,,,,interesting reason
Management and Administrative Sciences Review,Unknown,A,management and administrative sciences review,Manag. Adm. Sci. Rev.,Gray OA,,,,interesting reason
Social and Basic Sciences Research Review,Unknown,A,social and basic sciences research review,Soc. Basic. Sci. Res. Rev,Gray OA,,,,interesting reason
International Review of Basic and Applied Sciences (IRBAS),Unknown,A,international review of basic and applied sciences (irbas),,Gray OA,,,,interesting reason
International Journal of Neurology Research,Unknown,A,international journal of neurology research,,Gray OA,,,,interesting reason
International Journal of Ophthalmic Research,Unknown,A,international journal of ophthalmic research,,Gray OA,,,,interesting reason
Journal of Cardiology and Therapy,Unknown,A,journal of cardiology and therapy,,Gray OA,,,,interesting reason
Journal of Dermatological Research,Unknown,A,journal of dermatological research,,Gray OA,,,,interesting reason
Journal of Gastroenterology and Hepatology Research,Unknown,A,journal of gastroenterology and hepatology research,,Gray OA,,,,interesting reason
Journal of Respiratory Research,Unknown,A,journal of respiratory research,,Gray OA,,,,interesting reason
International Journal of Advanced Research in Computer Science and Software Engineering (IJARCSSE),Unknown,A,international journal of advanced research in computer science and software engineering (ijarcsse),,Gray OA,,,,interesting reason
Advances in Engineering & Scientific Research,Unknown,A,advances in engineering & scientific research,,Gray OA,,,,interesting reason
International Journal of Mathematics & Computing,Unknown,A,international journal of mathematics & computing,,Gray OA,,,,interesting reason
International Journal of Medicine & Health Research,Unknown,A,international journal of medicine & health research,,Gray OA,,,,interesting reason
Journal of Social Sciences & Humanities Research,Unknown,A,journal of social sciences & humanities research,,Gray OA,,,,interesting reason
Journal of Computing Technologies (JCT),Unknown,A,journal of computing technologies (jct),,Gray OA,,,,interesting reason
International Journal of Modern Sciences and Engineering Technology (IJMSET),Unknown,A,international journal of modern sciences and engineering technology (ijmset),,Gray OA,,,,interesting reason
"African Journal of Traditional, Complementary and Alternative Medicines (AJTCAM)",Unknown,A,"african journal of traditional, complementary and alternative medicines (ajtcam)",,Gray OA,,,,interesting reason
International Journal of Law and Management Studies (IJLMS),Unknown,A,international journal of law and management studies (ijlms),,Gray OA,,,,interesting reason
Journal of Modern Science & Heritage,Unknown,A,journal of modern science & heritage,,Gray OA,,,,interesting reason
International Journal of Advanced Engineering Research and Science (IJAERS),Unknown,A,international journal of advanced engineering research and science (ijaers),,Gray OA,,,,interesting reason
Health Informatics - An International Journal ( HIIJ ),Unknown,A,health informatics - an international journal ( hiij ),,Gray OA,,,,interesting reason
International Journal in Foundations of Computer Science & Technology ( IJFCST ),Unknown,A,international journal in foundations of computer science & technology ( ijfcst ),,Gray OA,,,,interesting reason
International Journal of Artificial Intelligence & Applications ( IJAIA ),Unknown,A,international journal of artificial intelligence & applications ( ijaia ),,Gray OA,,,,interesting reason
International Journal of Computer Networks & Communications ( IJCNC ),Unknown,A,international journal of computer networks & communications ( ijcnc ),,Gray OA,,,,interesting reason
International Journal of Computer Science & Information Technology ( IJCSIT ),Unknown,A,international journal of computer science & information technology ( ijcsit ),,Gray OA,,,,interesting reason
International Journal of Computer Science and Engineering Survey ( IJCSES ),Unknown,A,international journal of computer science and engineering survey ( ijcses ),,Gray OA,,,,interesting reason
"International Journal of Computer Science, Engineering and Information Technology ( IJCSEIT )",Unknown,A,"international journal of computer science, engineering and information technology ( ijcseit )",,Gray OA,,,,interesting reason
International Journal of Data Mining & Knowledge Management Process ( IJDKP ),Unknown,A,international journal of data mining & knowledge management process ( ijdkp ),,Gray OA,,,,interesting reason
International Journal of Distributed and Parallel Systems ( IJDPS ),Unknown,A,international journal of distributed and parallel systems ( ijdps ),,Gray OA,,,,interesting reason
International Journal of Fuzzy Logic Systems( IJFLS ),Unknown,A,international journal of fuzzy logic systems( ijfls ),,Gray OA,,,,interesting reason
"International Journal of Information Technology, Control and Automation ( IJITCA )",Unknown,A,"international journal of information technology, control and automation ( ijitca )",,Gray OA,,,,interesting reason
International Journal of Instrumentation and Control Systems ( IJICS ),Unknown,A,international journal of instrumentation and control systems ( ijics ),,Gray OA,,,,interesting reason
International Journal of Managing Information Technology ( IJMIT ),Unknown,A,international journal of managing information technology ( ijmit ),,Gray OA,,,,interesting reason
International Journal of Managing Public Sector Information and Communication Technologies ( IJMPICT ),Unknown,A,international journal of managing public sector information and communication technologies ( ijmpict ),,Gray OA,,,,interesting reason
International Journal of Mobile Network Communications & Telematics ( IJMNCT ),Unknown,A,international journal of mobile network communications & telematics ( ijmnct ),,Gray OA,,,,interesting reason
International Journal of Network Security & Its Applications ( IJNSA ),Unknown,A,international journal of network security & its applications ( ijnsa ),,Gray OA,,,,interesting reason
"International Journal of Security, Privacy and Trust Management( IJSPTM )",Unknown,A,"international journal of security, privacy and trust management( ijsptm )",,Gray OA,,,,interesting reason
International Journal of Software Engineering & Applications ( IJSEA ),Unknown,A,international journal of software engineering & applications ( ijsea ),,Gray OA,,,,interesting reason
International Journal of VLSI Design & Communication Systems ( VLSICS ),Unknown,A,international journal of vlsi design & communication systems ( vlsics ),,Gray OA,,,,interesting reason
International Journal of Wireless & Mobile Networks ( IJWMN ),Unknown,A,international journal of wireless & mobile networks ( ijwmn ),,Gray OA,,,,interesting reason
International Journal on Cloud Computing: Services and Architecture ( IJCCSA ),Unknown,A,international journal on cloud computing: services and architecture ( ijccsa ),,Gray OA,,,,interesting reason
International Journal On Cryptography And Information Security ( IJCIS ),Unknown,A,international journal on cryptography and information security ( ijcis ),,Gray OA,,,,interesting reason
International Journal on Cybernetics & Informatics ( IJCI ),Unknown,A,international journal on cybernetics & informatics ( ijci ),,Gray OA,,,,interesting reason
International Journal on Integrating Technology in Education ( IJITE ),Unknown,A,international journal on integrating technology in education ( ijite ),,Gray OA,,,,interesting reason
International Journal on Natural Language Computing ( IJNLC ),Unknown,A,international journal on natural language computing ( ijnlc ),,Gray OA,,,,interesting reason
International Journal on Soft Computing ( IJSC ),Unknown,A,international journal on soft computing ( ijsc ),,Gray OA,,,,interesting reason
The International Journal of Multimedia & Its Applications ( IJMA ),Unknown,A,the international journal of multimedia & its applications ( ijma ),,Gray OA,,,,interesting reason
Current Research in Microbiology and Biotechnology,Unknown,A,current research in microbiology and biotechnology,,Gray OA,,,,interesting reason
International Journal of Chemical and Natural Science,Unknown,A,international journal of chemical and natural science,,Gray OA,,,,interesting reason
International Journal of Computational Bioinformatics and In Silico Modeling,Unknown,A,international journal of computational bioinformatics and in silico modeling,,Gray OA,,,,interesting reason
International Journal of Pharma Sciences,Unknown,A,international journal of pharma sciences,,Gray OA,,,,interesting reason
The English Literature Journal,Unknown,A,the english literature journal,,Gray OA,,,,interesting reason
Al Ameen Journal of Medical Sciences (AJMS),Unknown,A,al ameen journal of medical sciences (ajms),,Gray OA,,,,interesting reason
ASIO Journal of Medical & Health Sciences Research (ASIO-JMHSR),Unknown,A,asio journal of medical & health sciences research (asio-jmhsr),,Gray OA,,,,interesting reason
"ASIO Journal of Microbiology, Food Science & Biotechnological Innovations (ASIO-JMFSBI) [ISSN: 2455-3751]",Unknown,A,"asio journal of microbiology, food science & biotechnological innovations (asio-jmfsbi) [issn: 2455-3751]",,Gray OA,,,,interesting reason
ASIO Journal of Nursing & Physiotherapeutic Research (ASIO-JNPR),Unknown,A,asio journal of nursing & physiotherapeutic research (asio-jnpr),,Gray OA,,,,interesting reason
International Journal of Sciences (IJSciences),Unknown,A,international journal of sciences (ijsciences),,Gray OA,,,,interesting reason
Advances in Cell Science and Tissue Culture,Unknown,A,advances in cell science and tissue culture,,Gray OA,,,,interesting reason
Archives of Digestive Disorders,Unknown,A,archives of digestive disorders,,Gray OA,,,,interesting reason
Archives of General Internal Medicine,Unknown,A,archives of general internal medicine,,Gray OA,,,,interesting reason
Asian Journal of Biomedical and Pharmaceutical Sciences,Unknown,A,asian journal of biomedical and pharmaceutical sciences,,Gray OA,,,,interesting reason
Biomedical Research,Unknown,A,biomedical research,,Gray OA,,,,interesting reason
Case Reports in Surgery and Invasive Procedures,Unknown,A,case reports in surgery and invasive procedures,,Gray OA,,,,interesting reason
Current Pediatric Research,Unknown,A,current pediatric research,,Gray OA,,,,interesting reason
Current Trends in Cardiology,Unknown,A,current trends in cardiology,,Gray OA,,,,interesting reason
Environmental Risk Assessment and Remediation,Unknown,A,environmental risk assessment and remediation,,Gray OA,,,,interesting reason
Immune System and Disorders Journal,Unknown,A,immune system and disorders journal,,Gray OA,,,,interesting reason
Insights in Nutrition and Metabolism,Unknown,A,insights in nutrition and metabolism,,Gray OA,,,,interesting reason
International Journal of Pure and Applied Zoology,Unknown,A,international journal of pure and applied zoology,,Gray OA,,,,interesting reason
Journal of Advanced Surgical Research,Unknown,A,journal of advanced surgical research,,Gray OA,,,,interesting reason
Journal of Aging and Geriatric Psychiatry,Unknown,A,journal of aging and geriatric psychiatry,,Gray OA,,,,interesting reason
Journal of Cardiovascular Medicine and Therapeutics,Unknown,A,journal of cardiovascular medicine and therapeutics,,Gray OA,,,,interesting reason
Journal of Clinical Pathology and Laboratory Medicine,Unknown,A,journal of clinical pathology and laboratory medicine,,Gray OA,,,,interesting reason
Journal of Food Technology and Preservation,Unknown,A,journal of food technology and preservation,,Gray OA,,,,interesting reason
Journal of Forensic Genetics and Medicine,Unknown,A,journal of forensic genetics and medicine,,Gray OA,,,,interesting reason
Journal of Gastroenterology and Digestive Diseases,Unknown,A,journal of gastroenterology and digestive diseases,,Gray OA,,,,interesting reason
Journal of Medical Oncology and Therapeutics,Unknown,A,journal of medical oncology and therapeutics,,Gray OA,,,,interesting reason
Journal of NeuroInformatics and Neuroimaging,Unknown,A,journal of neuroinformatics and neuroimaging,,Gray OA,,,,interesting reason
Journal of Neurology and Neurorehabilitation Research,Unknown,A,journal of neurology and neurorehabilitation research,,Gray OA,,,,interesting reason
Journal of Nutrition and Human Health,Unknown,A,journal of nutrition and human health,,Gray OA,,,,interesting reason
Journal of Orthopedic Surgery and Rehabilitation,Unknown,A,journal of orthopedic surgery and rehabilitation,,Gray OA,,,,interesting reason
Journal of Pain Management and Therapy,Unknown,A,journal of pain management and therapy,,Gray OA,,,,interesting reason
Journal of Psychology and Cognition,Unknown,A,journal of psychology and cognition,,Gray OA,,,,interesting reason
Journal of RNAi and Gene Silencing,Unknown,A,journal of rnai and gene silencing,,Gray OA,,,,interesting reason
Journal of Trauma and Critical  Care,Unknown,A,journal of trauma and critical  care,,Gray OA,,,,interesting reason
Journal of Veterinary Medicine and Allied Science,Unknown,A,journal of veterinary medicine and allied science,,Gray OA,,,,interesting reason
Research and Reports in Gynecology and Obstetrics,Unknown,A,research and reports in gynecology and obstetrics,,Gray OA,,,,interesting reason
Virology Research Journal,Unknown,A,virology research journal,,Gray OA,,,,interesting reason
"International Journal of Engineering, Management & Sciences",Unknown,A,"international journal of engineering, management & sciences",https://www.alliedjournals.com/page/home,Gray OA,,,,interesting reason
American Journal of Agricultural Science,Unknown,A,american journal of agricultural science,,Gray OA,,,,interesting reason
American Journal of Biomedical Science and Engineering,Unknown,A,american journal of biomedical science and engineering,,Gray OA,,,,interesting reason
American Journal of Computer Science and Information Engineering,Unknown,A,american journal of computer science and information engineering,,Gray OA,,,,interesting reason
